date,maxtp,mintp,rain,wdsp,sun,Invalid dates
01-jan-1942,9.7,6.8,0.0,17.2,0.0,date
02-jan-1942,9.9,7.9,0.1,15.2,0.0,date
03-jan-1942,11.2,8.9,1.5,14.0,0.1,date
04-jan-1942,9.2,2.7,3.5,17.0,0.6,date
05-jan-1942,3.5,-0.8,0.6,13.0,3.4,date
06-jan-1942,5.1,0.7,0.0,9.7,0.1,date
07-jan-1942,7.1,0.5,0.0,10.3,4.0,date
08-jan-1942,7.1,1.4,0.0,9.3,3.7,date
09-jan-1942,4.5,0.7,0.2,11.8,0.6,date
10-jan-1942,5.3,-2.8,0.0,4.0,5.0,date
11-jan-1942,4.0,-2.6,1.1,2.8,1.6,date
12-jan-1942,5.1,0.1,2.5,8.6,0.0,date
13-jan-1942,4.8,-1.4,0.2,7.5,6.1,date
14-jan-1942,4.7,-3.1,0.1,3.8,3.8,date
15-jan-1942,4.5,0.2,2.1,26.3,0.0,date
16-jan-1942,4.4,3.0,9.6,18.0,0.0,date
17-jan-1942,8.5,0.8,4.5,7.1,6.0,date
18-jan-1942,7.8,1.4,0.0,8.4,4.5,date
19-jan-1942,7.9,3.9,23.1,17.0,0.0,date
20-jan-1942,7.4,-0.7,0.1,7.3,2.3,date
21-jan-1942,6.5,5.1,1.0,19.9,0.0,date
22-jan-1942,7.7,3.4,7.6,8.3,0.0,date
23-jan-1942,11.9,7.2,5.8,19.6,0.0,date
24-jan-1942,10.4,3.4,2.9,19.1,0.1,date
25-jan-1942,5.9,1.8,1.1,24.3,4.8,date
26-jan-1942,6.1,-0.1,0.0,10.9,6.7,date
27-jan-1942,9.1,2.1,3.9,20.4,2.2,date
28-jan-1942,6.0,1.4,3.4,19.7,6.4,date
29-jan-1942,5.6,-0.6,0.6,11.4,6.8,date
30-jan-1942,6.6,1.1,11.0,16.9,1.6,date
31-jan-1942,6.0,-0.2,5.4,8.2,2.4,date
01-feb-1942,9.9,6.0,1.6,19.5,0.0,date
02-feb-1942,9.6,5.6,2.5,10.6,0.1,date
03-feb-1942,11.6,7.1,0.4,17.0,1.4,date
04-feb-1942,7.5,2.3,1.1,11.2,0.0,date
05-feb-1942,3.6,-0.2,0.1,10.9,2.7,date
06-feb-1942,4.4,-0.6,1.3,8.4,0.0,date
07-feb-1942,5.2,1.4,0.1,7.2,1.2,date
08-feb-1942,3.2,-3.2,0.0,7.5,0.0,date
09-feb-1942,7.5,3.2,0.0,6.9,0.2,date
10-feb-1942,9.3,-1.4,0.5,13.3,0.5,date
11-feb-1942,3.1,-4.2,0.0,9.8,0.6,date
12-feb-1942,9.0,3.1,0.5,18.2,0.1,date
13-feb-1942,5.7,-1.1,0.0,11.0,2.4,date
14-feb-1942,5.9,-0.1,0.0,1.9,2.1,date
15-feb-1942,7.1,-2.2,0.0,6.3,1.5,date
16-feb-1942,5.7,-1.1,0.0,9.3,4.9,date
17-feb-1942,3.9,-1.7,0.0,7.5,4.7,date
18-feb-1942,3.6,1.1,0.0,10.2,0.0,date
19-feb-1942,3.7,-0.5,0.0,6.6,0.4,date
20-feb-1942,4.6,-2.1,0.0,5.2,6.2,date
21-feb-1942,2.9,-0.8,0.0,9.8,0.4,date
22-feb-1942,0.0,-2.3,2.0,10.6,0.4,date
23-feb-1942,2.4,-2.4,0.7,8.7,5.6,date
24-feb-1942,3.9,-2.7,0.0,2.2,0.4,date
25-feb-1942,6.2,-2.2,0.1,2.0,6.7,date
26-feb-1942,7.3,-4.3,0.0,3.1,8.4,date
27-feb-1942,7.4,2.2,7.0,11.8,0.5,date
28-feb-1942,8.3,0.7,7.9,5.9,0.0,date
01-mar-1942,5.8,3.3,0.3,10.6,0.9,date
02-mar-1942,6.1,2.1,0.0,21.6,0.0,date
03-mar-1942,7.6,5.7,1.2,23.3,0.0,date
04-mar-1942,11.6,6.1,7.7,9.1,2.5,date
05-mar-1942,6.2,-0.8,14.5,15.8,0.0,date
06-mar-1942,0.9,-4.4,12.2,6.8,0.2,date
07-mar-1942,5.4,-6.1,0.0,10.4,3.9,date
08-mar-1942,7.0,3.6,8.8,16.3,0.6,date
09-mar-1942,4.6,1.4,6.9,8.3,0.0,date
10-mar-1942,6.7,4.4,0.0,7.9,0.0,date
11-mar-1942,5.8,3.4,0.3,7.5,0.0,date
12-mar-1942,7.2,4.4,3.0,14.9,0.0,date
13-mar-1942,6.1,5.0,2.5,17.0,0.0,date
14-mar-1942,10.6,5.2,3.9,11.2,0.3,date
15-mar-1942,14.8,6.3,0.7,13.1,4.2,date
16-mar-1942,12.5,6.3,2.5,14.9,0.0,date
17-mar-1942,14.4,6.2,0.5,5.5,3.6,date
18-mar-1942,11.1,4.5,0.0,5.3,0.3,date
19-mar-1942,9.9,6.1,1.8,5.1,0.5,date
20-mar-1942,11.7,4.9,0.0,7.2,2.7,date
21-mar-1942,11.6,1.3,0.0,6.2,10.4,date
22-mar-1942,11.0,2.8,0.0,5.7,7.6,date
23-mar-1942,11.2,0.3,0.0,3.7,8.8,date
24-mar-1942,16.2,0.7,0.0,3.5,10.4,date
25-mar-1942,9.9,1.6,0.0,7.3,3.3,date
26-mar-1942,7.8,1.3,0.0,9.8,1.7,date
27-mar-1942,9.2,4.5,0.0,12.1,4.2,date
28-mar-1942,6.8,3.7,0.0,14.2,0.2,date
29-mar-1942,9.8,4.9,1.4,10.4,0.0,date
30-mar-1942,16.0,4.4,0.2,11.1,3.5,date
31-mar-1942,14.8,6.0,8.0,17.1,4.1,date
01-apr-1942,8.9,3.1,8.7,25.0,4.6,date
02-apr-1942,10.4,0.8,0.3,13.2,8.3,date
03-apr-1942,9.7,3.3,3.1,12.9,0.8,date
04-apr-1942,9.8,1.1,3.5,14.4,0.1,date
05-apr-1942,12.2,6.1,2.8,22.0,9.0,date
06-apr-1942,13.4,6.4,5.3,20.3,4.4,date
07-apr-1942,12.3,4.9,2.6,18.6,3.8,date
08-apr-1942,9.4,2.4,0.6,23.7,5.5,date
09-apr-1942,12.3,6.0,3.6,19.0,2.9,date
10-apr-1942,13.5,4.5,0.0,17.1,8.8,date
11-apr-1942,15.7,8.6,0.0,15.0,8.0,date
12-apr-1942,12.9,9.1,0.1,19.8,0.0,date
13-apr-1942,10.2,6.8,2.8,4.6,0.0,date
14-apr-1942,11.0,5.7,0.0,10.7,8.0,date
15-apr-1942,14.4,3.1,0.0,8.3,12.3,date
16-apr-1942,16.2,4.4,0.0,5.3,13.1,date
17-apr-1942,12.7,4.2,0.0,10.7,12.0,date
18-apr-1942,12.7,5.6,0.0,9.2,9.4,date
19-apr-1942,11.4,5.4,0.0,6.1,2.1,date
20-apr-1942,13.1,5.7,0.0,9.2,2.3,date
21-apr-1942,12.1,7.0,0.0,5.5,4.8,date
22-apr-1942,13.9,7.3,0.0,3.0,2.4,date
23-apr-1942,9.9,5.7,3.4,13.5,0.0,date
24-apr-1942,8.4,4.6,0.1,19.9,9.0,date
25-apr-1942,10.8,3.3,0.0,20.9,10.4,date
26-apr-1942,10.7,3.7,0.0,21.9,9.5,date
27-apr-1942,13.1,4.9,0.0,20.1,8.7,date
28-apr-1942,12.4,5.4,0.0,23.0,10.4,date
29-apr-1942,11.7,4.9,0.0,25.3,3.5,date
30-apr-1942,12.2,4.4,0.0,14.8,11.3,date
01-may-1942,17.2,2.8,0.0,5.3,12.2,date
02-may-1942,14.1,1.8,0.0,6.5,12.4,date
03-may-1942,17.9,3.3,0.0,7.4,12.8,date
04-may-1942,17.3,3.2,0.0,5.9,11.8,date
05-may-1942,18.4,7.3,0.0,12.6,8.7,date
06-may-1942,20.9,5.6,0.0,17.3,13.3,date
07-may-1942,15.4,7.8,0.0,10.4,1.8,date
08-may-1942,10.7,6.9,0.4,11.7,0.1,date
09-may-1942,11.8,5.6,0.0,17.9,11.7,date
10-may-1942,10.1,4.9,5.1,20.4,5.7,date
11-may-1942,8.4,5.6,5.9,16.8,0.0,date
12-may-1942,10.3,6.2,0.0,17.3,1.8,date
13-may-1942,11.2,4.4,0.0,9.7,10.8,date
14-may-1942,14.4,4.4,0.0,8.5,7.3,date
15-may-1942,10.9,8.4,12.5,13.2,0.0,date
16-may-1942,16.9,8.1,0.7,13.8,6.3,date
17-may-1942,13.8,8.3,26.7,13.4,1.7,date
18-may-1942,16.2,9.0,1.6,10.0,2.4,date
19-may-1942,18.4,9.0,3.9,8.6,9.2,date
20-may-1942,15.6,8.1,1.0,5.7,2.1,date
21-may-1942,15.1,8.9,0.0,5.0,1.4,date
22-may-1942,15.8,8.3,2.1,9.3,7.2,date
23-may-1942,11.8,6.6,8.5,16.0,0.1,date
24-may-1942,14.3,5.2,4.0,17.4,9.0,date
25-may-1942,12.4,4.6,8.1,17.5,5.8,date
26-may-1942,12.2,7.2,2.6,20.2,2.5,date
27-may-1942,14.8,7.4,2.6,20.5,7.0,date
28-may-1942,15.8,6.1,5.5,13.0,5.9,date
29-may-1942,14.9,7.6,8.3,8.3,5.5,date
30-may-1942,15.2,5.9,8.7,6.2,6.7,date
31-may-1942,15.7,6.8,0.0,7.4,12.7,date
01-jun-1942,18.3,11.3,0.0,18.8,2.4,date
02-jun-1942,20.4,11.8,0.0,16.1,9.4,date
03-jun-1942,23.7,9.0,0.0,8.6,15.4,date
04-jun-1942,24.1,11.6,0.0,7.0,14.7,date
05-jun-1942,23.9,11.2,0.0,5.1,13.5,date
06-jun-1942,22.5,7.1,0.0,10.5,9.8,date
07-jun-1942,15.3,4.4,0.0,14.9,11.4,date
08-jun-1942,14.8,5.2,0.0,13.1,11.3,date
09-jun-1942,13.0,3.6,0.0,10.8,1.6,date
10-jun-1942,13.9,7.1,0.0,5.8,5.9,date
11-jun-1942,14.9,3.9,0.0,3.3,11.5,date
12-jun-1942,14.4,4.3,0.5,9.7,5.1,date
13-jun-1942,14.4,1.4,0.0,7.6,8.2,date
14-jun-1942,12.6,4.2,2.9,6.4,2.9,date
15-jun-1942,14.4,5.7,0.0,10.1,4.7,date
16-jun-1942,15.5,8.7,0.0,9.2,7.2,date
17-jun-1942,15.7,6.2,0.0,11.7,2.1,date
18-jun-1942,16.1,8.9,0.5,9.6,6.2,date
19-jun-1942,18.8,7.9,0.0,8.6,12.8,date
20-jun-1942,21.3,11.9,0.0,6.7,6.4,date
21-jun-1942,23.3,14.8,0.0,7.2,5.8,date
22-jun-1942,19.4,11.3,0.0,10.9,2.7,date
23-jun-1942,19.2,8.0,0.0,8.9,10.5,date
24-jun-1942,16.1,11.3,0.0,9.6,0.3,date
25-jun-1942,17.3,5.8,0.0,8.4,15.0,date
26-jun-1942,17.8,7.4,0.0,3.8,2.9,date
27-jun-1942,18.9,8.8,0.0,11.1,3.1,date
28-jun-1942,22.9,12.7,0.1,11.3,11.3,date
29-jun-1942,20.6,11.1,0.0,10.7,4.2,date
30-jun-1942,17.3,10.4,0.0,7.2,6.5,date
01-jul-1942,17.7,7.2,0.0,5.5,11.9,date
02-jul-1942,21.3,8.4,0.2,13.0,7.1,date
03-jul-1942,20.1,13.4,3.7,14.2,0.3,date
04-jul-1942,20.3,9.8,0.0,12.6,10.5,date
05-jul-1942,20.0,11.6,8.8,19.3,12.3,date
06-jul-1942,19.9,10.6,2.3,15.4,7.9,date
07-jul-1942,17.3,10.1,0.7,13.2,8.6,date
08-jul-1942,18.1,9.1,4.2,18.1,7.7,date
09-jul-1942,18.1,9.4,0.8,10.5,5.1,date
10-jul-1942,16.8,7.8,3.6,11.5,8.7,date
11-jul-1942,17.2,8.6,0.0,11.5,5.5,date
12-jul-1942,17.8,9.5,0.0,6.9,0.4,date
13-jul-1942,19.4,10.6,0.4,13.5,1.6,date
14-jul-1942,19.2,8.9,0.0,13.5,7.3,date
15-jul-1942,16.9,9.3,2.0,15.4,0.1,date
16-jul-1942,18.2,11.4,0.3,18.2,3.6,date
17-jul-1942,16.2,10.6,0.0,18.9,3.6,date
18-jul-1942,16.5,9.3,0.0,15.2,10.3,date
19-jul-1942,21.7,9.7,0.0,13.6,3.2,date
20-jul-1942,22.2,14.6,0.0,14.7,3.6,date
21-jul-1942,22.2,14.5,0.0,16.8,6.2,date
22-jul-1942,17.7,13.3,3.0,26.3,0.1,date
23-jul-1942,19.1,12.2,1.1,19.2,4.2,date
24-jul-1942,20.2,10.4,0.7,21.0,4.5,date
