Depth (m),EDC3_gas_a (yr),"Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma (ppmv),station,uni
3061.71,667435.0,,178.5,,moesm31,LGGE in Grenoble
3063.98,670124.0,,189.0,,moesm31,LGGE in Grenoble
3085.78,688035.0,,234.0,,moesm31,LGGE in Grenoble
3086.88,688751.0,,235.4,,moesm31,LGGE in Grenoble
3087.98,689444.0,,241.0,,moesm31,LGGE in Grenoble
3089.08,690155.0,,235.0,,moesm31,LGGE in Grenoble
3091.28,691524.0,,235.9,,moesm31,LGGE in Grenoble
3093.48,692857.0,,236.3,,moesm31,LGGE in Grenoble
3120.01,715603.0,,223.8,,moesm31,LGGE in Grenoble
3122.2,718581.0,,190.2,,moesm31,LGGE in Grenoble
3124.41,721870.0,,217.0,,moesm31,LGGE in Grenoble
3128.68,727458.0,,203.7,,moesm31,LGGE in Grenoble
3133.08,732300.0,,210.7,,moesm31,LGGE in Grenoble
3135.28,734408.0,,209.6,,moesm31,LGGE in Grenoble
3141.82,739986.0,,198.0,,moesm31,LGGE in Grenoble
3146.37,744681.0,,185.2,,moesm31,LGGE in Grenoble
3150.68,749152.0,,188.8,,moesm31,LGGE in Grenoble
3152.88,751552.0,,193.8,,moesm31,LGGE in Grenoble
3155.08,754124.0,,197.3,,moesm31,LGGE in Grenoble
3156.18,755354.0,,203.4,,moesm31,LGGE in Grenoble
3157.28,756605.0,,214.4,,moesm31,LGGE in Grenoble
3158.38,757805.0,,225.5,,moesm31,LGGE in Grenoble
3159.48,759027.0,,216.6,,moesm31,LGGE in Grenoble
3160.58,760338.0,,214.9,,moesm31,LGGE in Grenoble
3161.68,761745.0,,213.0,,moesm31,LGGE in Grenoble
3162.78,763158.0,,221.3,,moesm31,LGGE in Grenoble
3163.88,764529.0,,226.5,,moesm31,LGGE in Grenoble
3164.98,765917.0,,216.1,,moesm31,LGGE in Grenoble
3167.18,768940.0,,227.5,,moesm31,LGGE in Grenoble
3168.28,770434.0,,233.9,,moesm31,LGGE in Grenoble
3169.38,771888.0,,226.9,,moesm31,LGGE in Grenoble
3170.48,773353.0,,238.6,,moesm31,LGGE in Grenoble
3171.58,774854.0,,240.1,,moesm31,LGGE in Grenoble
3172.68,776322.0,,245.9,,moesm31,LGGE in Grenoble
3173.78,777719.0,,246.7,,moesm31,LGGE in Grenoble
3174.88,779076.0,,243.8,,moesm31,LGGE in Grenoble
3177.08,781771.0,,251.2,,moesm31,LGGE in Grenoble
3178.18,783110.0,,252.5,,moesm31,LGGE in Grenoble
3179.28,784409.0,,248.4,,moesm31,LGGE in Grenoble
3180.38,785654.0,,255.3,,moesm31,LGGE in Grenoble
3181.48,786819.0,,256.6,,moesm31,LGGE in Grenoble
3182.58,787957.0,,246.4,,moesm31,LGGE in Grenoble
3183.68,789126.0,,239.3,,moesm31,LGGE in Grenoble
3185.88,791767.0,,217.3,,moesm31,LGGE in Grenoble
3186.98,793255.0,,224.2,,moesm31,LGGE in Grenoble
3188.08,794949.0,,206.7,,moesm31,LGGE in Grenoble
3190.28,798893.0,,193.6,,moesm31,LGGE in Grenoble
