Depth (m),"Age (Ahn et al., 2008)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
1315.91,19286.0,,194.36,0.97,Byrd (19-88 kyr BP),Oregon State University
1332.34,19887.0,,191.14,0.19,Byrd (19-88 kyr BP),Oregon State University
1334.2,19978.0,,192.54,0.09,Byrd (19-88 kyr BP),Oregon State University
1346.28,20404.0,,204.27,0.48,Byrd (19-88 kyr BP),Oregon State University
1353.02,20585.0,21248.63,195.37,0.02,Byrd (19-88 kyr BP),Oregon State University
1363.17,20891.0,21503.37,197.12,1.04,Byrd (19-88 kyr BP),Oregon State University
1381.14,21557.0,22078.43,195.81,1.66,Byrd (19-88 kyr BP),Oregon State University
1401.95,22225.0,22553.14,199.75,4.49,Byrd (19-88 kyr BP),Oregon State University
1410.3,22555.0,22754.54,194.62,0.31,Byrd (19-88 kyr BP),Oregon State University
1420.27,23356.0,23071.96,195.97,1.88,Byrd (19-88 kyr BP),Oregon State University
1430.78,24650.0,23629.83,194.74,1.94,Byrd (19-88 kyr BP),Oregon State University
1441.45,25828.0,24116.47,189.76,1.3,Byrd (19-88 kyr BP),Oregon State University
1460.2,26537.0,25307.18,192.21,1.28,Byrd (19-88 kyr BP),Oregon State University
1470.77,26974.0,25995.22,184.4,1.42,Byrd (19-88 kyr BP),Oregon State University
1480.48,27445.0,26512.06,188.07,1.48,Byrd (19-88 kyr BP),Oregon State University
1490.87,27815.0,27259.04,201.96,0.46,Byrd (19-88 kyr BP),Oregon State University
1496.52,27961.0,27693.17,204.98,1.71,Byrd (19-88 kyr BP),Oregon State University
1503.54,28221.0,28071.09,205.91,2.43,Byrd (19-88 kyr BP),Oregon State University
1512.46,28486.0,28441.65,207.48,1.73,Byrd (19-88 kyr BP),Oregon State University
1523.46,28973.0,28936.9,205.54,0.4,Byrd (19-88 kyr BP),Oregon State University
1533.76,29396.0,29378.51,201.49,1.84,Byrd (19-88 kyr BP),Oregon State University
1543.63,29843.0,29838.66,197.51,3.18,Byrd (19-88 kyr BP),Oregon State University
1552.76,30245.0,30249.94,195.36,0.89,Byrd (19-88 kyr BP),Oregon State University
1573.34,31053.0,31385.13,195.09,2.37,Byrd (19-88 kyr BP),Oregon State University
1581.93,31577.0,31869.03,202.29,0.38,Byrd (19-88 kyr BP),Oregon State University
1594.06,32170.0,32386.55,203.67,0.4,Byrd (19-88 kyr BP),Oregon State University
1615.15,33297.0,33810.9,208.11,0.11,Byrd (19-88 kyr BP),Oregon State University
1620.38,33541.0,34079.22,205.25,0.53,Byrd (19-88 kyr BP),Oregon State University
1631.11,34033.0,34357.3,201.53,1.67,Byrd (19-88 kyr BP),Oregon State University
1640.9,34484.0,34621.71,213.08,0.47,Byrd (19-88 kyr BP),Oregon State University
1650.56,34953.0,35267.35,206.62,1.72,Byrd (19-88 kyr BP),Oregon State University
1658.96,35286.0,35703.28,209.93,1.1,Byrd (19-88 kyr BP),Oregon State University
1677.79,36111.0,36309.93,207.76,0.1,Byrd (19-88 kyr BP),Oregon State University
1688.63,36704.0,36780.17,212.63,0.99,Byrd (19-88 kyr BP),Oregon State University
