Depth (m),EDC3_gas_a (yr),"Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma (ppmv),station,uni
102.83,137.0,350.11,280.4,1.8,Dome C (0-22 kyr BP)P,University of Bern
106.89,268.0,486.69,274.9,0.7,Dome C (0-22 kyr BP)P,University of Bern
107.2,279.0,501.2,277.9,0.7,Dome C (0-22 kyr BP)P,University of Bern
110.25,395.0,539.65,279.1,1.3,Dome C (0-22 kyr BP)P,University of Bern
110.5,404.0,539.89,281.9,1.1,Dome C (0-22 kyr BP)P,University of Bern
113.27,485.0,657.69,277.7,0.7,Dome C (0-22 kyr BP)P,University of Bern
115.48,559.0,762.16,281.1,1.1,Dome C (0-22 kyr BP)P,University of Bern
118.62,672.0,867.61,282.2,0.5,Dome C (0-22 kyr BP)P,University of Bern
121.5,754.0,961.07,280.1,0.6,Dome C (0-22 kyr BP)P,University of Bern
124.82,877.0,1109.5,278.4,1.5,Dome C (0-22 kyr BP)P,University of Bern
127.02,950.0,1168.29,276.6,1.4,Dome C (0-22 kyr BP)P,University of Bern
129.75,1060.0,1256.85,279.1,1.0,Dome C (0-22 kyr BP)P,University of Bern
132.5,1153.0,1315.27,277.7,1.2,Dome C (0-22 kyr BP)P,University of Bern
134.72,1233.0,1387.27,278.7,1.2,Dome C (0-22 kyr BP)P,University of Bern
138.02,1350.0,1477.17,277.4,0.8,Dome C (0-22 kyr BP)P,University of Bern
141.3,1453.0,1653.13,279.2,0.9,Dome C (0-22 kyr BP)P,University of Bern
144.05,1552.0,1729.03,280.0,0.8,Dome C (0-22 kyr BP)P,University of Bern
146.27,1638.0,1816.6,278.9,0.8,Dome C (0-22 kyr BP)P,University of Bern
149.02,1733.0,1901.97,278.7,0.7,Dome C (0-22 kyr BP)P,University of Bern
151.2,1812.0,1999.71,278.0,1.2,Dome C (0-22 kyr BP)P,University of Bern
154.5,1931.0,2093.36,276.9,0.7,Dome C (0-22 kyr BP)P,University of Bern
157.82,2057.0,2234.24,276.7,0.8,Dome C (0-22 kyr BP)P,University of Bern
160.03,2128.0,2265.55,276.7,0.8,Dome C (0-22 kyr BP)P,University of Bern
162.17,2212.0,2414.32,277.6,1.3,Dome C (0-22 kyr BP)P,University of Bern
165.52,2334.0,2526.12,277.9,0.5,Dome C (0-22 kyr BP)P,University of Bern
168.28,2433.0,2628.02,273.9,1.1,Dome C (0-22 kyr BP)P,University of Bern
171.0,2536.0,2708.48,278.9,0.6,Dome C (0-22 kyr BP)P,University of Bern
173.14,2604.0,2801.76,275.3,1.6,Dome C (0-22 kyr BP)P,University of Bern
176.52,2728.0,2904.55,274.7,1.2,Dome C (0-22 kyr BP)P,University of Bern
178.72,2806.0,2948.82,276.3,0.9,Dome C (0-22 kyr BP)P,University of Bern
181.45,2902.0,3056.6,274.6,0.8,Dome C (0-22 kyr BP)P,University of Bern
185.85,3053.0,3255.73,276.3,1.5,Dome C (0-22 kyr BP)P,University of Bern
187.52,3116.0,3283.66,273.1,1.1,Dome C (0-22 kyr BP)P,University of Bern
189.72,3215.0,3431.12,274.0,0.3,Dome C (0-22 kyr BP)P,University of Bern
193.0,3336.0,3528.29,275.0,0.6,Dome C (0-22 kyr BP)P,University of Bern
196.3,3453.0,3644.46,273.4,1.3,Dome C (0-22 kyr BP)P,University of Bern
198.52,3523.0,3693.41,273.0,0.8,Dome C (0-22 kyr BP)P,University of Bern
201.28,3622.0,3806.86,271.5,1.0,Dome C (0-22 kyr BP)P,University of Bern
204.0,3721.0,3856.17,275.4,0.5,Dome C (0-22 kyr BP)P,University of Bern
206.2,3790.0,3968.95,274.9,1.3,Dome C (0-22 kyr BP)P,University of Bern
209.52,3910.0,4108.67,271.7,1.0,Dome C (0-22 kyr BP)P,University of Bern
212.27,4004.0,4205.84,271.6,0.7,Dome C (0-22 kyr BP)P,University of Bern
215.0,4096.0,4275.08,272.8,0.8,Dome C (0-22 kyr BP)P,University of Bern
216.65,4161.0,4342.82,271.5,0.9,Dome C (0-22 kyr BP)P,University of Bern
221.05,4324.0,4494.36,271.1,0.8,Dome C (0-22 kyr BP)P,University of Bern
222.72,4374.0,4592.82,269.1,0.6,Dome C (0-22 kyr BP)P,University of Bern
225.48,4480.0,4647.46,269.8,1.0,Dome C (0-22 kyr BP)P,University of Bern
228.2,4573.0,4773.0,271.5,0.8,Dome C (0-22 kyr BP)P,University of Bern
232.05,4703.0,4921.2,270.7,0.5,Dome C (0-22 kyr BP)P,University of Bern
233.72,4766.0,4981.58,269.3,1.0,Dome C (0-22 kyr BP)P,University of Bern
236.47,4874.0,5086.79,268.6,1.1,Dome C (0-22 kyr BP)P,University of Bern
240.27,5004.0,5218.57,269.8,1.2,Dome C (0-22 kyr BP)P,University of Bern
242.5,5094.0,5311.18,267.6,0.6,Dome C (0-22 kyr BP)P,University of Bern
244.72,5160.0,5357.55,265.3,1.7,Dome C (0-22 kyr BP)P,University of Bern
248.02,5274.0,5533.29,265.2,0.8,Dome C (0-22 kyr BP)P,University of Bern
250.72,5370.0,5581.3,267.6,2.0,Dome C (0-22 kyr BP)P,University of Bern
253.5,5476.0,5757.61,265.9,0.9,Dome C (0-22 kyr BP)P,University of Bern
256.27,5562.0,5852.26,265.5,0.8,Dome C (0-22 kyr BP)P,University of Bern
259.02,5657.0,5934.09,260.7,1.6,Dome C (0-22 kyr BP)P,University of Bern
260.65,5716.0,5999.38,266.7,0.9,Dome C (0-22 kyr BP)P,University of Bern
264.5,5855.0,6089.81,265.5,0.8,Dome C (0-22 kyr BP)P,University of Bern
268.37,5998.0,6301.96,263.2,0.6,Dome C (0-22 kyr BP)P,University of Bern
269.42,6039.0,6337.21,262.7,0.9,Dome C (0-22 kyr BP)P,University of Bern
272.2,6131.0,6401.24,261.2,0.7,Dome C (0-22 kyr BP)P,University of Bern
276.07,6263.0,6572.29,261.1,0.4,Dome C (0-22 kyr BP)P,University of Bern
278.27,6354.0,6682.55,259.4,0.6,Dome C (0-22 kyr BP)P,University of Bern
280.53,6434.0,6769.65,262.1,0.9,Dome C (0-22 kyr BP)P,University of Bern
283.72,6545.0,6880.31,262.9,0.5,Dome C (0-22 kyr BP)P,University of Bern
285.97,6617.0,6970.08,258.1,1.4,Dome C (0-22 kyr BP)P,University of Bern
288.17,6713.0,7038.27,257.6,0.9,Dome C (0-22 kyr BP)P,University of Bern
292.0,6838.0,7188.07,262.3,0.9,Dome C (0-22 kyr BP)P,University of Bern
294.75,6941.0,7274.01,263.0,0.7,Dome C (0-22 kyr BP)P,University of Bern
297.52,7028.0,7405.32,260.7,0.6,Dome C (0-22 kyr BP)P,University of Bern
299.72,7112.0,7497.87,258.4,0.8,Dome C (0-22 kyr BP)P,University of Bern
303.0,7234.0,7661.37,260.1,0.6,Dome C (0-22 kyr BP)P,University of Bern
305.75,7320.0,7719.59,260.4,0.4,Dome C (0-22 kyr BP)P,University of Bern
308.52,7413.0,7860.18,259.7,0.9,Dome C (0-22 kyr BP)P,University of Bern
