Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m).5,station,uni
2700.77,392544.0,392977.15,259.5,3026.58,Dome C (393-664 kyr BP),LGGE Grenoble
2702.97,393579.0,394003.69,273.6,3030.97,Dome C (393-664 kyr BP),LGGE Grenoble
2705.17,394560.0,394906.1,260.7,3036.44,Dome C (393-664 kyr BP),LGGE Grenoble
2713.97,398086.0,398275.13,276.3,3040.87,Dome C (393-664 kyr BP),LGGE Grenoble
2718.37,399722.0,399926.16,277.1,3043.07,Dome C (393-664 kyr BP),LGGE Grenoble
2720.57,400504.0,400710.08,283.2,3055.18,Dome C (393-664 kyr BP),LGGE Grenoble
2724.97,402000.0,402140.92,283.1,3056.25,Dome C (393-664 kyr BP),LGGE Grenoble
2727.17,402731.0,402859.84,275.7,3057.36,Dome C (393-664 kyr BP),LGGE Grenoble
2731.57,404181.0,404313.3,276.5,3058.47,Dome C (393-664 kyr BP),LGGE Grenoble
2733.77,404927.0,405062.63,280.5,3059.55,Dome C (393-664 kyr BP),LGGE Grenoble
2738.17,406368.0,406542.8,279.6,3060.33,Dome C (393-664 kyr BP),LGGE Grenoble
2740.37,407093.0,407282.5,285.6,3060.73,Dome C (393-664 kyr BP),LGGE Grenoble
2744.77,408600.0,408818.72,284.5,3061.36,Dome C (393-664 kyr BP),LGGE Grenoble
2746.97,409383.0,409598.24,275.2,3061.82,Dome C (393-664 kyr BP),LGGE Grenoble
2746.97,409383.0,409598.24,274.2,3062.53,Dome C (393-664 kyr BP),LGGE Grenoble
2749.17,410206.0,410453.8,282.6,3062.93,Dome C (393-664 kyr BP),LGGE Grenoble
2751.37,411071.0,411347.97,283.5,3063.64,Dome C (393-664 kyr BP),LGGE Grenoble
2755.77,412962.0,413258.65,274.9,3064.02,Dome C (393-664 kyr BP),LGGE Grenoble
2757.97,413948.0,414210.86,264.9,3064.76,Dome C (393-664 kyr BP),LGGE Grenoble
2760.17,414963.0,415179.59,271.6,3065.12,Dome C (393-664 kyr BP),LGGE Grenoble
2762.37,415955.0,416184.85,276.2,3065.76,Dome C (393-664 kyr BP),LGGE Grenoble
2764.57,416965.0,417203.68,268.5,3066.22,Dome C (393-664 kyr BP),LGGE Grenoble
2766.77,417979.0,418234.98,277.7,3066.93,Dome C (393-664 kyr BP),LGGE Grenoble
2768.97,419013.0,419318.31,273.3,3067.33,Dome C (393-664 kyr BP),LGGE Grenoble
2771.17,420107.0,420438.42,268.9,3068.07,Dome C (393-664 kyr BP),LGGE Grenoble
2775.57,422374.0,422889.84,276.6,3068.42,Dome C (393-664 kyr BP),LGGE Grenoble
2775.57,422374.0,422889.84,274.3,3069.52,Dome C (393-664 kyr BP),LGGE Grenoble
2777.77,423491.0,424204.53,270.9,3070.16,Dome C (393-664 kyr BP),LGGE Grenoble
2779.97,424604.0,425451.08,273.7,3070.62,Dome C (393-664 kyr BP),LGGE Grenoble
2782.17,425678.0,426767.04,257.7,3071.33,Dome C (393-664 kyr BP),LGGE Grenoble
2784.37,426953.0,428411.8,254.1,3071.72,Dome C (393-664 kyr BP),LGGE Grenoble
