Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
2761.85,415717.0,415945.61,276.4,1.6,Dome C (393-664 kyr BP),University of Bern
2762.89,416193.0,416425.32,271.7,1.2,Dome C (393-664 kyr BP),University of Bern
2765.08,417191.0,417440.44,273.4,1.5,Dome C (393-664 kyr BP),University of Bern
2766.18,417698.0,417956.78,271.8,1.7,Dome C (393-664 kyr BP),University of Bern
2767.33,418245.0,418505.3,274.6,1.8,Dome C (393-664 kyr BP),University of Bern
2769.48,419260.0,419575.78,273.7,0.8,Dome C (393-664 kyr BP),University of Bern
2770.58,419808.0,420133.76,271.2,1.5,Dome C (393-664 kyr BP),University of Bern
2771.68,420350.0,420701.76,273.8,1.6,Dome C (393-664 kyr BP),University of Bern
2773.88,421484.0,421912.15,268.6,1.4,Dome C (393-664 kyr BP),University of Bern
2774.96,422074.0,422532.65,266.4,1.8,Dome C (393-664 kyr BP),University of Bern
2776.13,422649.0,423225.5,270.6,1.1,Dome C (393-664 kyr BP),University of Bern
2778.28,423764.0,424507.75,267.7,2.9,Dome C (393-664 kyr BP),University of Bern
2779.39,424332.0,425132.26,268.3,1.9,Dome C (393-664 kyr BP),University of Bern
2780.48,424840.0,425740.91,270.8,1.1,Dome C (393-664 kyr BP),University of Bern
2781.32,425242.0,426237.27,270.0,2.5,Dome C (393-664 kyr BP),University of Bern
2781.96,425569.0,426621.56,265.4,2.0,Dome C (393-664 kyr BP),University of Bern
2782.73,425975.0,427154.96,255.3,1.3,Dome C (393-664 kyr BP),University of Bern
2783.81,426598.0,427941.4,252.1,0.7,Dome C (393-664 kyr BP),University of Bern
2784.88,427285.0,428840.2,248.2,0.9,Dome C (393-664 kyr BP),University of Bern
2785.27,427566.0,429178.36,242.5,1.5,Dome C (393-664 kyr BP),University of Bern
2787.08,429006.0,431023.76,219.7,1.7,Dome C (393-664 kyr BP),University of Bern
2788.03,429876.0,432179.31,227.2,2.2,Dome C (393-664 kyr BP),University of Bern
2789.29,431063.0,433850.3,211.5,1.7,Dome C (393-664 kyr BP),University of Bern
2789.67,431445.0,434379.07,207.6,1.3,Dome C (393-664 kyr BP),University of Bern
2790.78,432599.0,435939.69,209.8,1.6,Dome C (393-664 kyr BP),University of Bern
2791.87,433674.0,437485.42,207.5,1.3,Dome C (393-664 kyr BP),University of Bern
2792.97,434804.0,439063.42,200.3,1.6,Dome C (393-664 kyr BP),University of Bern
2794.08,435989.0,440659.58,201.7,1.6,Dome C (393-664 kyr BP),University of Bern
2795.17,437152.0,442230.78,201.3,1.1,Dome C (393-664 kyr BP),University of Bern
2796.28,438356.0,443844.65,202.0,1.5,Dome C (393-664 kyr BP),University of Bern
2797.38,439565.0,445331.73,199.1,1.1,Dome C (393-664 kyr BP),University of Bern
2798.92,441220.0,447219.18,201.1,0.9,Dome C (393-664 kyr BP),University of Bern
2800.02,442411.0,448459.18,203.5,0.6,Dome C (393-664 kyr BP),University of Bern
2801.13,443562.0,449571.04,208.1,1.8,Dome C (393-664 kyr BP),University of Bern
2802.21,444650.0,450642.89,201.7,1.7,Dome C (393-664 kyr BP),University of Bern
2803.33,445829.0,451747.28,201.2,2.1,Dome C (393-664 kyr BP),University of Bern
2804.42,446984.0,452735.84,204.9,1.4,Dome C (393-664 kyr BP),University of Bern
2805.52,448103.0,453775.64,201.9,1.8,Dome C (393-664 kyr BP),University of Bern
2806.62,449244.0,454864.31,198.4,1.3,Dome C (393-664 kyr BP),University of Bern
2807.72,450455.0,456001.61,193.3,1.6,Dome C (393-664 kyr BP),University of Bern
2808.82,451593.0,457114.44,192.5,1.0,Dome C (393-664 kyr BP),University of Bern
2809.46,452283.0,457745.13,199.1,0.6,Dome C (393-664 kyr BP),University of Bern
2809.93,452795.0,458208.29,204.3,1.0,Dome C (393-664 kyr BP),University of Bern
2810.56,453514.0,458794.01,203.3,1.0,Dome C (393-664 kyr BP),University of Bern
2811.01,454023.0,459211.55,208.3,1.4,Dome C (393-664 kyr BP),University of Bern
2812.12,455279.0,460252.21,202.4,1.3,Dome C (393-664 kyr BP),University of Bern
2813.21,456591.0,461286.06,195.5,0.8,Dome C (393-664 kyr BP),University of Bern
2814.32,458049.0,462414.1,190.7,1.9,Dome C (393-664 kyr BP),University of Bern
2815.43,459430.0,463526.65,194.4,0.7,Dome C (393-664 kyr BP),University of Bern
2816.52,460792.0,464599.47,199.9,2.6,Dome C (393-664 kyr BP),University of Bern
2817.25,461687.0,465265.36,205.2,0.9,Dome C (393-664 kyr BP),University of Bern
2817.62,462133.0,465601.73,210.0,0.7,Dome C (393-664 kyr BP),University of Bern
2818.72,463456.0,466632.3,208.1,2.2,Dome C (393-664 kyr BP),University of Bern
2819.83,464866.0,467706.64,204.4,1.9,Dome C (393-664 kyr BP),University of Bern
2820.92,466265.0,468877.71,203.4,1.2,Dome C (393-664 kyr BP),University of Bern
2822.01,467602.0,470040.13,205.5,0.9,Dome C (393-664 kyr BP),University of Bern
2822.66,468323.0,470725.98,206.5,0.9,Dome C (393-664 kyr BP),University of Bern
2823.11,468810.0,471200.79,215.5,2.3,Dome C (393-664 kyr BP),University of Bern
2823.76,469470.0,471824.53,218.7,0.9,Dome C (393-664 kyr BP),University of Bern
2824.22,469941.0,472263.07,229.2,1.4,Dome C (393-664 kyr BP),University of Bern
2824.86,470597.0,472863.27,232.7,0.7,Dome C (393-664 kyr BP),University of Bern
2825.31,471046.0,473217.82,243.7,1.8,Dome C (393-664 kyr BP),University of Bern
2826.05,471763.0,473800.85,243.9,1.1,Dome C (393-664 kyr BP),University of Bern
2826.42,472095.0,474092.36,245.6,0.9,Dome C (393-664 kyr BP),University of Bern
2827.53,473102.0,474974.11,241.2,1.7,Dome C (393-664 kyr BP),University of Bern
2828.63,474162.0,475925.2,233.1,0.6,Dome C (393-664 kyr BP),University of Bern
2829.72,475218.0,476949.8,232.8,1.1,Dome C (393-664 kyr BP),University of Bern
2830.82,476240.0,477941.0,236.6,1.0,Dome C (393-664 kyr BP),University of Bern
2831.93,477162.0,478892.46,239.1,0.9,Dome C (393-664 kyr BP),University of Bern
2832.56,477719.0,479402.95,236.5,1.2,Dome C (393-664 kyr BP),University of Bern
2833.02,478124.0,479775.69,231.3,1.0,Dome C (393-664 kyr BP),University of Bern
2833.66,478721.0,480328.3,220.8,0.7,Dome C (393-664 kyr BP),University of Bern
2834.12,479144.0,480726.68,218.8,2.3,Dome C (393-664 kyr BP),University of Bern
2835.22,480108.0,481662.96,223.8,1.4,Dome C (393-664 kyr BP),University of Bern
2836.32,481035.0,482580.96,223.4,1.7,Dome C (393-664 kyr BP),University of Bern
2837.43,481932.0,483395.38,227.3,1.3,Dome C (393-664 kyr BP),University of Bern
2838.53,482803.0,484179.79,231.4,1.1,Dome C (393-664 kyr BP),University of Bern
2839.62,483649.0,484936.18,231.4,1.3,Dome C (393-664 kyr BP),University of Bern
2840.71,484465.0,485667.52,231.2,1.2,Dome C (393-664 kyr BP),University of Bern
2841.81,485276.0,486398.67,233.0,1.4,Dome C (393-664 kyr BP),University of Bern
2842.92,486043.0,487129.25,232.9,1.2,Dome C (393-664 kyr BP),University of Bern
2844.02,486816.0,487848.07,231.3,1.2,Dome C (393-664 kyr BP),University of Bern
2845.11,487541.0,488565.45,237.1,1.8,Dome C (393-664 kyr BP),University of Bern
2846.22,488268.0,489302.09,242.0,0.2,Dome C (393-664 kyr BP),University of Bern
2846.86,488689.0,489719.79,240.9,0.4,Dome C (393-664 kyr BP),University of Bern
2847.33,488996.0,490026.29,252.8,2.5,Dome C (393-664 kyr BP),University of Bern
2848.05,489475.0,490494.91,249.3,2.7,Dome C (393-664 kyr BP),University of Bern
2848.42,489722.0,490733.95,242.6,0.6,Dome C (393-664 kyr BP),University of Bern
2849.53,490445.0,491451.08,243.3,1.3,Dome C (393-664 kyr BP),University of Bern
2850.63,491191.0,492154.55,246.7,1.6,Dome C (393-664 kyr BP),University of Bern
2851.72,491959.0,492863.78,243.7,1.4,Dome C (393-664 kyr BP),University of Bern
2852.82,492738.0,493593.11,239.7,1.9,Dome C (393-664 kyr BP),University of Bern
2853.91,493507.0,494300.39,239.1,1.2,Dome C (393-664 kyr BP),University of Bern
2855.03,494311.0,495024.13,238.3,2.0,Dome C (393-664 kyr BP),University of Bern
2856.12,495085.0,495725.69,238.5,1.4,Dome C (393-664 kyr BP),University of Bern
2857.22,495853.0,496444.07,237.6,1.6,Dome C (393-664 kyr BP),University of Bern
2858.32,496608.0,497187.63,236.4,2.1,Dome C (393-664 kyr BP),University of Bern
2859.43,497366.0,497965.98,236.5,1.7,Dome C (393-664 kyr BP),University of Bern
2860.51,498104.0,498737.42,232.8,0.8,Dome C (393-664 kyr BP),University of Bern
2861.62,498865.0,499526.78,230.6,0.5,Dome C (393-664 kyr BP),University of Bern
2862.72,499610.0,500304.78,230.8,1.0,Dome C (393-664 kyr BP),University of Bern
2863.83,500363.0,501083.96,228.2,1.7,Dome C (393-664 kyr BP),University of Bern
2864.93,501130.0,501861.42,230.8,1.4,Dome C (393-664 kyr BP),University of Bern
2866.02,501866.0,502637.64,231.2,0.8,Dome C (393-664 kyr BP),University of Bern
2867.13,502625.0,503418.93,232.0,1.6,Dome C (393-664 kyr BP),University of Bern
2868.23,503375.0,504177.19,232.2,1.4,Dome C (393-664 kyr BP),University of Bern
2869.32,504083.0,504911.78,234.1,0.8,Dome C (393-664 kyr BP),University of Bern
2870.42,504777.0,505684.24,233.9,1.1,Dome C (393-664 kyr BP),University of Bern
2871.52,505516.0,506483.73,235.5,1.8,Dome C (393-664 kyr BP),University of Bern
2872.62,506287.0,507312.4,236.0,2.1,Dome C (393-664 kyr BP),University of Bern
2873.72,507011.0,508117.72,238.2,0.9,Dome C (393-664 kyr BP),University of Bern
2874.82,507714.0,508940.98,237.0,0.8,Dome C (393-664 kyr BP),University of Bern
2875.92,508476.0,509784.98,240.3,0.7,Dome C (393-664 kyr BP),University of Bern
2877.02,509247.0,510652.33,233.4,1.0,Dome C (393-664 kyr BP),University of Bern
2878.12,510008.0,511512.45,236.4,1.4,Dome C (393-664 kyr BP),University of Bern
2879.22,510765.0,512363.78,235.2,0.5,Dome C (393-664 kyr BP),University of Bern
2880.32,511515.0,513204.74,242.0,0.8,Dome C (393-664 kyr BP),University of Bern
2881.42,512269.0,514033.12,238.2,1.0,Dome C (393-664 kyr BP),University of Bern
2882.52,512997.0,514847.78,239.2,1.2,Dome C (393-664 kyr BP),University of Bern
2883.62,513724.0,515650.78,241.5,1.3,Dome C (393-664 kyr BP),University of Bern
2884.72,514429.0,516420.98,243.0,0.5,Dome C (393-664 kyr BP),University of Bern
2885.82,515113.0,517154.98,247.2,2.2,Dome C (393-664 kyr BP),University of Bern
2886.92,515771.0,517876.01,246.2,2.6,Dome C (393-664 kyr BP),University of Bern
2888.02,516417.0,518600.46,245.5,1.1,Dome C (393-664 kyr BP),University of Bern
2889.12,517069.0,519329.13,245.3,1.3,Dome C (393-664 kyr BP),University of Bern
2890.22,517706.0,520073.36,247.7,1.4,Dome C (393-664 kyr BP),University of Bern
2891.32,518334.0,520821.81,245.5,0.8,Dome C (393-664 kyr BP),University of Bern
2892.42,518965.0,521574.47,243.5,0.7,Dome C (393-664 kyr BP),University of Bern
2895.71,520892.0,523801.82,241.9,1.4,Dome C (393-664 kyr BP),University of Bern
2896.82,521552.0,524570.87,236.8,0.8,Dome C (393-664 kyr BP),University of Bern
2897.92,522216.0,525337.0,235.8,1.2,Dome C (393-664 kyr BP),University of Bern
2899.02,522923.0,526107.0,233.7,0.7,Dome C (393-664 kyr BP),University of Bern
2900.12,523666.0,526895.81,230.3,0.8,Dome C (393-664 kyr BP),University of Bern
2901.22,524409.0,527698.69,227.8,0.6,Dome C (393-664 kyr BP),University of Bern
2902.32,525164.0,528516.69,224.7,1.9,Dome C (393-664 kyr BP),University of Bern
2903.42,525908.0,529403.43,222.7,1.0,Dome C (393-664 kyr BP),University of Bern
