Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),station,uni
3061.71,667435.0,667256.8,178.5,Dome C (611-800 kyr BP),LGGE Grenoble
3063.98,670124.0,670241.01,189.0,Dome C (611-800 kyr BP),LGGE Grenoble
3085.78,688035.0,690566.62,234.0,Dome C (611-800 kyr BP),LGGE Grenoble
3086.88,688751.0,691327.29,235.4,Dome C (611-800 kyr BP),LGGE Grenoble
3087.98,689444.0,692134.74,241.0,Dome C (611-800 kyr BP),LGGE Grenoble
3089.08,690155.0,692933.48,235.0,Dome C (611-800 kyr BP),LGGE Grenoble
3091.28,691524.0,694379.24,235.9,Dome C (611-800 kyr BP),LGGE Grenoble
3093.48,692857.0,695834.35,236.3,Dome C (611-800 kyr BP),LGGE Grenoble
3120.01,715603.0,715453.95,223.8,Dome C (611-800 kyr BP),LGGE Grenoble
3122.2,718581.0,717795.21,190.2,Dome C (611-800 kyr BP),LGGE Grenoble
3124.41,721870.0,720473.02,217.0,Dome C (611-800 kyr BP),LGGE Grenoble
3128.68,727458.0,725220.95,203.7,Dome C (611-800 kyr BP),LGGE Grenoble
3133.08,732300.0,730002.15,210.7,Dome C (611-800 kyr BP),LGGE Grenoble
3135.28,734408.0,732084.0,209.6,Dome C (611-800 kyr BP),LGGE Grenoble
3141.82,739986.0,738789.73,198.0,Dome C (611-800 kyr BP),LGGE Grenoble
3146.37,744681.0,744336.95,185.2,Dome C (611-800 kyr BP),LGGE Grenoble
3150.68,749152.0,749532.99,188.8,Dome C (611-800 kyr BP),LGGE Grenoble
3152.88,751552.0,752258.82,193.8,Dome C (611-800 kyr BP),LGGE Grenoble
3155.08,754124.0,755273.28,197.3,Dome C (611-800 kyr BP),LGGE Grenoble
3156.18,755354.0,756692.62,203.4,Dome C (611-800 kyr BP),LGGE Grenoble
3157.28,756605.0,758063.16,214.4,Dome C (611-800 kyr BP),LGGE Grenoble
3158.38,757805.0,759395.08,225.5,Dome C (611-800 kyr BP),LGGE Grenoble
3159.48,759027.0,760660.42,216.6,Dome C (611-800 kyr BP),LGGE Grenoble
3160.58,760338.0,762001.71,214.9,Dome C (611-800 kyr BP),LGGE Grenoble
3161.68,761745.0,763421.84,213.0,Dome C (611-800 kyr BP),LGGE Grenoble
3162.78,763158.0,765000.51,221.3,Dome C (611-800 kyr BP),LGGE Grenoble
3163.88,764529.0,766487.12,226.5,Dome C (611-800 kyr BP),LGGE Grenoble
3164.98,765917.0,767931.57,216.1,Dome C (611-800 kyr BP),LGGE Grenoble
3167.18,768940.0,770903.33,227.5,Dome C (611-800 kyr BP),LGGE Grenoble
3168.28,770434.0,772461.85,233.9,Dome C (611-800 kyr BP),LGGE Grenoble
3169.38,771888.0,773859.85,226.9,Dome C (611-800 kyr BP),LGGE Grenoble
3170.48,773353.0,775240.75,238.6,Dome C (611-800 kyr BP),LGGE Grenoble
3171.58,774854.0,776606.41,240.1,Dome C (611-800 kyr BP),LGGE Grenoble
3172.68,776322.0,777943.75,245.9,Dome C (611-800 kyr BP),LGGE Grenoble
3173.78,777719.0,779204.62,246.7,Dome C (611-800 kyr BP),LGGE Grenoble
3174.88,779076.0,780449.27,243.8,Dome C (611-800 kyr BP),LGGE Grenoble
3177.08,781771.0,782940.48,251.2,Dome C (611-800 kyr BP),LGGE Grenoble
3178.18,783110.0,784128.84,252.5,Dome C (611-800 kyr BP),LGGE Grenoble
3179.28,784409.0,785267.51,248.4,Dome C (611-800 kyr BP),LGGE Grenoble
3180.38,785654.0,786429.32,255.3,Dome C (611-800 kyr BP),LGGE Grenoble
3181.48,786819.0,787568.78,256.6,Dome C (611-800 kyr BP),LGGE Grenoble
3182.58,787957.0,788620.78,246.4,Dome C (611-800 kyr BP),LGGE Grenoble
3183.68,789126.0,789716.55,239.3,Dome C (611-800 kyr BP),LGGE Grenoble
3185.88,791767.0,792311.24,217.3,Dome C (611-800 kyr BP),LGGE Grenoble
3186.98,793255.0,793846.67,224.2,Dome C (611-800 kyr BP),LGGE Grenoble
3188.08,794949.0,795454.73,206.7,Dome C (611-800 kyr BP),LGGE Grenoble
3190.28,798893.0,799032.3,193.6,Dome C (611-800 kyr BP),LGGE Grenoble
