Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
445.0,12789.0,12890.31,237.63,0.73,EDC (12-24 kyr BP),University of Bern
455.3,13371.0,13665.23,238.59,2.70,EDC (12-24 kyr BP),University of Bern
461.5,13705.0,14033.38,239.64,0.62,EDC (12-24 kyr BP),University of Bern
466.45,13974.0,14250.63,240.84,1.93,EDC (12-24 kyr BP),University of Bern
486.27,15101.0,15335.65,227.77,2.14,EDC (12-24 kyr BP),University of Bern
493.76,15513.0,15845.26,225.01,NAN,EDC (12-24 kyr BP),University of Bern
502.2,16067.0,16185.43,222.92,0.99,EDC (12-24 kyr BP),University of Bern
511.05,16689.0,17092.36,210.65,NAN,EDC (12-24 kyr BP),University of Bern
520.9,17091.0,17828.58,197.6,0.65,EDC (12-24 kyr BP),University of Bern
525.11,17246.0,18420.96,193.61,NAN,EDC (12-24 kyr BP),University of Bern
538.0,17855.0,19521.78,188.38,NAN,EDC (12-24 kyr BP),University of Bern
547.35,18546.0,20069.49,189.92,NAN,EDC (12-24 kyr BP),University of Bern
554.85,19204.0,20683.18,187.59,4.06,EDC (12-24 kyr BP),University of Bern
559.41,19652.0,21280.34,190.55,0.29,EDC (12-24 kyr BP),University of Bern
560.5,19774.0,21382.6,188.83,1.77,EDC (12-24 kyr BP),University of Bern
562.53,20013.0,21426.14,189.89,0.64,EDC (12-24 kyr BP),University of Bern
570.43,20912.0,21891.56,187.25,1.28,EDC (12-24 kyr BP),University of Bern
575.78,21500.0,22117.93,191.58,0.59,EDC (12-24 kyr BP),University of Bern
578.62,21795.0,22294.48,190.53,0.60,EDC (12-24 kyr BP),University of Bern
581.8,22091.0,22490.95,191.63,1.09,EDC (12-24 kyr BP),University of Bern
583.6,22190.0,22595.82,192.16,1.66,EDC (12-24 kyr BP),University of Bern
591.7,22687.0,23120.97,193.59,0.52,EDC (12-24 kyr BP),University of Bern
595.7,22938.0,23435.6,191.5,2.31,EDC (12-24 kyr BP),University of Bern
609.28,24143.0,25171.13,189.96,0.44,EDC (12-24 kyr BP),University of Bern
611.5,24382.0,25396.82,187.07,NAN,EDC (12-24 kyr BP),University of Bern
