Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
1669.25,125222.7,124858.67,277.64,0.12,EDC (125- 153 kyr BP),LGGE Grenoble
1674.75,125633.4,125326.0,275.61,0.83,EDC (125- 153 kyr BP),LGGE Grenoble
1674.75,125633.4,125326.0,278.5,2.25,EDC (125- 153 kyr BP),LGGE Grenoble
1677.5,125858.8,125561.33,271.68,1.26,EDC (125- 153 kyr BP),LGGE Grenoble
1680.25,126058.2,125807.67,272.59,1.19,EDC (125- 153 kyr BP),LGGE Grenoble
1685.75,126484.0,126306.33,273.47,2.37,EDC (125- 153 kyr BP),LGGE Grenoble
1691.25,126855.6,126739.0,267.19,2.59,EDC (125- 153 kyr BP),LGGE Grenoble
1696.75,127225.2,127078.0,271.56,1.23,EDC (125- 153 kyr BP),LGGE Grenoble
1702.25,127594.6,127503.33,274.81,1.55,EDC (125- 153 kyr BP),LGGE Grenoble
1705.0,127772.5,127660.0,277.27,3.61,EDC (125- 153 kyr BP),LGGE Grenoble
1707.75,127933.7,127829.0,287.48,5.72,EDC (125- 153 kyr BP),LGGE Grenoble
1713.25,128268.0,128172.67,290.23,-6.84,EDC (125- 153 kyr BP),LGGE Grenoble
1718.75,128584.6,128507.33,290.49,1.43,EDC (125- 153 kyr BP),LGGE Grenoble
1724.25,128919.7,128878.0,269.37,1.34,EDC (125- 153 kyr BP),LGGE Grenoble
1729.75,129272.9,129254.33,264.77,3.28,EDC (125- 153 kyr BP),LGGE Grenoble
1732.5,129446.0,129437.0,262.02,1.7,EDC (125- 153 kyr BP),LGGE Grenoble
1735.25,129627.5,129659.33,263.41,1.02,EDC (125- 153 kyr BP),LGGE Grenoble
1740.75,130008.3,130033.0,261.69,3.3,EDC (125- 153 kyr BP),LGGE Grenoble
1744.05,130236.1,130249.0,256.15,1.83,EDC (125- 153 kyr BP),LGGE Grenoble
1749.55,130678.0,130678.0,250.59,2.83,EDC (125- 153 kyr BP),LGGE Grenoble
1755.05,131153.0,131152.33,243.17,1.63,EDC (125- 153 kyr BP),LGGE Grenoble
1760.0,131621.2,131695.0,237.9,1.63,EDC (125- 153 kyr BP),LGGE Grenoble
1766.05,132267.3,132425.33,231.29,0.21,EDC (125- 153 kyr BP),LGGE Grenoble
1771.55,132953.9,133071.67,225.26,1.07,EDC (125- 153 kyr BP),LGGE Grenoble
1773.75,133238.4,133358.0,221.53,1.46,EDC (125- 153 kyr BP),LGGE Grenoble
1779.25,133980.6,134074.33,210.48,2.41,EDC (125- 153 kyr BP),LGGE Grenoble
1784.75,134804.6,134970.67,205.67,0.77,EDC (125- 153 kyr BP),LGGE Grenoble
1787.5,135294.9,135387.0,204.27,1.82,EDC (125- 153 kyr BP),LGGE Grenoble
1790.25,135791.4,135904.0,199.63,2.36,EDC (125- 153 kyr BP),LGGE Grenoble
1790.25,135791.4,135904.0,199.03,0.83,EDC (125- 153 kyr BP),LGGE Grenoble
1795.75,136802.5,137069.0,193.45,1.14,EDC (125- 153 kyr BP),LGGE Grenoble
1801.25,137817.3,138119.33,196.78,1.99,EDC (125- 153 kyr BP),LGGE Grenoble
1806.75,138872.2,139274.0,191.09,2.09,EDC (125- 153 kyr BP),LGGE Grenoble
1812.25,139966.3,140527.33,186.38,1.66,EDC (125- 153 kyr BP),LGGE Grenoble
1815.0,140513.8,141093.0,184.07,4.12,EDC (125- 153 kyr BP),LGGE Grenoble
1821.05,141740.2,142449.0,193.07,1.83,EDC (125- 153 kyr BP),LGGE Grenoble
1867.25,150635.7,152007.0,200.6,1.08,EDC (125- 153 kyr BP),LGGE Grenoble
1870.0,151179.2,152578.33,202.96,2.17,EDC (125- 153 kyr BP),LGGE Grenoble
1872.75,151703.4,153135.0,197.17,1.38,EDC (125- 153 kyr BP),LGGE Grenoble
