Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
346.5,8756.45,9274.2,256.9,0.63,EDC (9-22 kyr BP),LGGE Grenoble
346.5,8756.45,9274.2,261.57,1.27,EDC (9-22 kyr BP),LGGE Grenoble
355.3,9072.05,9516.19,258.3,0.92,EDC (9-22 kyr BP),LGGE Grenoble
376.75,9792.53,10178.3,265.55,0.01,EDC (9-22 kyr BP),LGGE Grenoble
376.75,9792.53,10178.3,258.4,0.24,EDC (9-22 kyr BP),LGGE Grenoble
389.95,10277.65,10801.23,268.0,2.18,EDC (9-22 kyr BP),LGGE Grenoble
393.25,10401.05,10828.07,266.91,1.11,EDC (9-22 kyr BP),LGGE Grenoble
393.25,10401.05,10828.07,268.21,NAN,EDC (9-22 kyr BP),LGGE Grenoble
398.75,10603.8,11063.53,262.8,0.42,EDC (9-22 kyr BP),LGGE Grenoble
410.85,11064.38,11509.0,261.39,NAN,EDC (9-22 kyr BP),LGGE Grenoble
410.85,11064.38,11509.0,262.37,0.84,EDC (9-22 kyr BP),LGGE Grenoble
412.5,11123.6,11528.5,263.23,1.34,EDC (9-22 kyr BP),LGGE Grenoble
418.0,11323.9,11545.1,260.3,0.19,EDC (9-22 kyr BP),LGGE Grenoble
418.0,11323.9,11545.1,258.46,1.57,EDC (9-22 kyr BP),LGGE Grenoble
426.8,11612.36,11984.53,247.84,2.06,EDC (9-22 kyr BP),LGGE Grenoble
426.8,11612.36,11984.53,252.26,2.12,EDC (9-22 kyr BP),LGGE Grenoble
431.2,11796.04,12272.93,246.8,1.09,EDC (9-22 kyr BP),LGGE Grenoble
431.2,11796.04,12272.93,250.44,1.66,EDC (9-22 kyr BP),LGGE Grenoble
436.7,12028.8,12492.7,245.26,0.78,EDC (9-22 kyr BP),LGGE Grenoble
436.7,12028.8,12492.7,244.68,0.22,EDC (9-22 kyr BP),LGGE Grenoble
443.3,12346.39,12795.4,238.67,0.36,EDC (9-22 kyr BP),LGGE Grenoble
447.7,12584.8,13084.93,236.02,1.48,EDC (9-22 kyr BP),LGGE Grenoble
447.7,12584.8,13084.93,237.24,1.45,EDC (9-22 kyr BP),LGGE Grenoble
448.25,12613.9,13144.77,236.96,1.28,EDC (9-22 kyr BP),LGGE Grenoble
448.25,12613.9,13144.77,233.57,1.71,EDC (9-22 kyr BP),LGGE Grenoble
450.45,12734.05,13384.8,238.9,1.01,EDC (9-22 kyr BP),LGGE Grenoble
450.45,12734.05,13384.8,236.98,0.34,EDC (9-22 kyr BP),LGGE Grenoble
453.2,12888.56,13587.73,238.02,0.25,EDC (9-22 kyr BP),LGGE Grenoble
453.75,12918.15,13608.7,237.63,1.15,EDC (9-22 kyr BP),LGGE Grenoble
455.4,13000.34,13668.8,238.02,1.88,EDC (9-22 kyr BP),LGGE Grenoble
458.7,13173.75,13818.4,241.54,2.28,EDC (9-22 kyr BP),LGGE Grenoble
458.7,13173.75,13818.4,241.97,0.57,EDC (9-22 kyr BP),LGGE Grenoble
459.8,13235.22,13904.2,237.72,1.86,EDC (9-22 kyr BP),LGGE Grenoble
464.75,13511.43,14230.43,238.32,0.78,EDC (9-22 kyr BP),LGGE Grenoble
469.7,13779.71,14355.63,239.0,1.06,EDC (9-22 kyr BP),LGGE Grenoble
473.0,13944.7,14576.73,239.03,0.68,EDC (9-22 kyr BP),LGGE Grenoble
475.2,14066.32,14677.7,241.0,2.13,EDC (9-22 kyr BP),LGGE Grenoble
475.2,14066.32,14677.7,236.98,0.33,EDC (9-22 kyr BP),LGGE Grenoble
477.4,14176.32,14739.57,232.52,1.57,EDC (9-22 kyr BP),LGGE Grenoble
480.7,14356.7,14853.63,228.76,0.49,EDC (9-22 kyr BP),LGGE Grenoble
482.9,14472.94,15024.7,227.7,0.73,EDC (9-22 kyr BP),LGGE Grenoble
486.75,14697.25,15381.1,228.24,1.38,EDC (9-22 kyr BP),LGGE Grenoble
487.85,14756.44,15470.57,227.99,0.93,EDC (9-22 kyr BP),LGGE Grenoble
491.7,14978.41,15772.7,225.44,0.59,EDC (9-22 kyr BP),LGGE Grenoble
498.3,15368.56,16025.4,219.05,1.73,EDC (9-22 kyr BP),LGGE Grenoble
501.05,15541.13,16118.27,221.08,0.22,EDC (9-22 kyr BP),LGGE Grenoble
503.8,15718.18,16344.9,217.69,0.02,EDC (9-22 kyr BP),LGGE Grenoble
504.9,15781.22,16486.5,215.5,NAN,EDC (9-22 kyr BP),LGGE Grenoble
