Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,station,uni
1435.62,43602.43,43205.41,193.78,1.52,2.0,EDML (49-115 kyr BP),University of Bern
1444.57,44172.99,43761.69,199.26,1.56,2.0,EDML (49-115 kyr BP),University of Bern
1447.64,44363.2,44024.7,188.62,3.15,2.0,EDML (49-115 kyr BP),University of Bern
1455.61,44878.09,44580.91,199.98,1.68,2.0,EDML (49-115 kyr BP),University of Bern
1459.65,45158.15,44853.29,212.41,0.69,2.0,EDML (49-115 kyr BP),University of Bern
1466.58,45605.57,45319.79,209.1,2.59,2.0,EDML (49-115 kyr BP),University of Bern
1471.64,45902.52,45621.38,211.96,1.13,2.0,EDML (49-115 kyr BP),University of Bern
1480.59,46419.24,46165.16,217.57,2.22,2.0,EDML (49-115 kyr BP),University of Bern
1483.64,46600.14,46362.84,207.43,0.6,2.0,EDML (49-115 kyr BP),University of Bern
1491.41,46984.13,46837.66,206.78,1.26,2.0,EDML (49-115 kyr BP),University of Bern
1495.64,47170.19,47095.36,199.66,4.52,2.0,EDML (49-115 kyr BP),University of Bern
1503.59,47565.5,47622.04,205.3,1.27,2.0,EDML (49-115 kyr BP),University of Bern
1508.63,47868.59,47939.47,200.28,1.84,2.0,EDML (49-115 kyr BP),University of Bern
1515.5,48332.0,48471.9,199.12,0.73,2.0,EDML (49-115 kyr BP),University of Bern
1518.57,48511.24,48700.06,193.59,1.49,2.0,EDML (49-115 kyr BP),University of Bern
1526.58,49015.69,49241.59,199.41,1.02,2.0,EDML (49-115 kyr BP),University of Bern
1531.77,49331.59,49585.84,202.36,1.34,2.0,EDML (49-115 kyr BP),University of Bern
1538.6,49736.84,50117.8,200.29,0.88,2.0,EDML (49-115 kyr BP),University of Bern
1543.57,50107.49,50469.38,202.8,1.5,2.0,EDML (49-115 kyr BP),University of Bern
1550.59,50585.67,50955.97,205.89,2.27,2.0,EDML (49-115 kyr BP),University of Bern
1556.57,50951.37,51340.23,205.33,2.41,2.0,EDML (49-115 kyr BP),University of Bern
1563.91,51390.12,51785.82,210.44,2.27,2.0,EDML (49-115 kyr BP),University of Bern
1567.63,51599.75,52038.38,210.71,1.56,2.0,EDML (49-115 kyr BP),University of Bern
1569.95,51731.81,52187.25,213.79,1.6,2.0,EDML (49-115 kyr BP),University of Bern
1575.9,52089.3,52558.08,218.0,3.62,2.0,EDML (49-115 kyr BP),University of Bern
1580.64,52364.18,52856.11,218.19,2.14,2.0,EDML (49-115 kyr BP),University of Bern
1581.94,52440.6,52949.64,215.91,1.34,2.0,EDML (49-115 kyr BP),University of Bern
1587.92,52785.98,53329.74,220.43,0.5,2.0,EDML (49-115 kyr BP),University of Bern
1590.63,52933.53,53498.34,219.01,3.53,2.0,EDML (49-115 kyr BP),University of Bern
1593.97,53132.09,53718.29,218.41,2.82,2.0,EDML (49-115 kyr BP),University of Bern
1600.91,53511.38,54117.92,212.75,2.5,2.0,EDML (49-115 kyr BP),University of Bern
1602.63,53612.87,54227.66,214.46,1.79,2.0,EDML (49-115 kyr BP),University of Bern
1605.97,53801.43,54451.73,211.89,1.62,2.0,EDML (49-115 kyr BP),University of Bern
1611.92,54161.42,54835.84,208.68,0.9,2.0,EDML (49-115 kyr BP),University of Bern
1615.63,54381.66,55090.97,209.42,1.91,2.0,EDML (49-115 kyr BP),University of Bern
1617.97,54526.65,55271.94,209.69,0.72,2.0,EDML (49-115 kyr BP),University of Bern
1623.88,54899.74,55680.88,209.47,1.13,2.0,EDML (49-115 kyr BP),University of Bern
1628.64,55202.47,55981.48,203.35,1.71,2.0,EDML (49-115 kyr BP),University of Bern
1629.95,55288.23,56071.21,205.05,0.35,2.0,EDML (49-115 kyr BP),University of Bern
1636.92,55744.54,56549.56,205.37,0.51,2.0,EDML (49-115 kyr BP),University of Bern
1639.63,55939.13,56742.31,203.7,2.32,2.0,EDML (49-115 kyr BP),University of Bern
1641.97,56090.68,56903.59,208.19,0.7,2.0,EDML (49-115 kyr BP),University of Bern
1647.88,56474.44,57323.27,210.74,0.78,2.0,EDML (49-115 kyr BP),University of Bern
1652.64,56779.26,57662.13,217.75,1.35,2.0,EDML (49-115 kyr BP),University of Bern
1653.95,56867.8,57748.65,214.24,0.81,2.0,EDML (49-115 kyr BP),University of Bern
1659.92,57230.19,58095.83,219.04,0.98,2.0,EDML (49-115 kyr BP),University of Bern
1664.64,57513.81,58384.53,218.41,0.56,2.0,EDML (49-115 kyr BP),University of Bern
1665.94,57591.04,58455.87,225.73,0.96,2.0,EDML (49-115 kyr BP),University of Bern
1670.9,57883.67,58737.85,218.44,0.65,2.0,EDML (49-115 kyr BP),University of Bern
1675.58,58147.07,58990.24,221.59,2.83,2.0,EDML (49-115 kyr BP),University of Bern
1677.95,58276.3,59101.39,226.8,3.67,2.0,EDML (49-115 kyr BP),University of Bern
1683.92,58588.15,59433.25,223.41,0.95,2.0,EDML (49-115 kyr BP),University of Bern
1688.64,58845.92,59694.21,221.84,1.17,2.0,EDML (49-115 kyr BP),University of Bern
1689.94,58911.23,59772.21,223.91,2.65,2.0,EDML (49-115 kyr BP),University of Bern
