Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
380.82,18906.0, ,190.5,1.0,Taylor Dome (19-63 kyr BP),University of Bern
382.42,23379.0, ,189.1,0.5,Taylor Dome (19-63 kyr BP),University of Bern
382.76,24011.0, ,189.0,1.4,Taylor Dome (19-63 kyr BP),University of Bern
383.54,25337.0, ,187.7,1.0,Taylor Dome (19-63 kyr BP),University of Bern
385.33,27507.0, ,195.2,0.5,Taylor Dome (19-63 kyr BP),University of Bern
385.64,27781.0, ,194.1,0.4,Taylor Dome (19-63 kyr BP),University of Bern
386.62,28527.0, ,196.1,0.7,Taylor Dome (19-63 kyr BP),University of Bern
387.66,29238.0, ,194.0,0.6,Taylor Dome (19-63 kyr BP),University of Bern
388.52,29772.0, ,191.1,0.5,Taylor Dome (19-63 kyr BP),University of Bern
389.7,30407.0, ,193.5,0.8,Taylor Dome (19-63 kyr BP),University of Bern
390.71,30881.0, ,196.8,0.5,Taylor Dome (19-63 kyr BP),University of Bern
391.63,31308.0, ,199.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern
392.62,31700.0, ,199.1,0.2,Taylor Dome (19-63 kyr BP),University of Bern
393.55,32090.0, ,200.4,0.6,Taylor Dome (19-63 kyr BP),University of Bern
395.32,32771.0, ,200.2,0.3,Taylor Dome (19-63 kyr BP),University of Bern
396.42,33161.0, ,200.1,0.7,Taylor Dome (19-63 kyr BP),University of Bern
396.98,33341.0, ,201.6,0.5,Taylor Dome (19-63 kyr BP),University of Bern
397.64,33580.0, ,200.9,0.6,Taylor Dome (19-63 kyr BP),University of Bern
398.61,33913.0, ,203.6,0.4,Taylor Dome (19-63 kyr BP),University of Bern
400.02,34364.0, ,205.3,0.6,Taylor Dome (19-63 kyr BP),University of Bern
405.53,36061.0, ,208.8,0.3,Taylor Dome (19-63 kyr BP),University of Bern
406.6,36378.0, ,213.0,0.8,Taylor Dome (19-63 kyr BP),University of Bern
407.73,36695.0, ,211.3,0.7,Taylor Dome (19-63 kyr BP),University of Bern
408.54,36883.0, ,212.6,1.1,Taylor Dome (19-63 kyr BP),University of Bern
411.31,37545.0, ,213.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern
412.24,37740.0, ,210.8,0.4,Taylor Dome (19-63 kyr BP),University of Bern
413.11,37949.0, ,209.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern
413.97,38149.0, ,210.6,0.5,Taylor Dome (19-63 kyr BP),University of Bern
416.37,38679.0, ,210.3,0.7,Taylor Dome (19-63 kyr BP),University of Bern
416.99,38826.0, ,207.8,0.6,Taylor Dome (19-63 kyr BP),University of Bern
418.27,39100.0, ,205.7,0.8,Taylor Dome (19-63 kyr BP),University of Bern
419.39,39345.0, ,198.6,0.5,Taylor Dome (19-63 kyr BP),University of Bern
420.31,39527.0, ,196.4,0.8,Taylor Dome (19-63 kyr BP),University of Bern
422.53,39960.0, ,197.5,0.8,Taylor Dome (19-63 kyr BP),University of Bern
424.75,40427.0, ,198.2,0.3,Taylor Dome (19-63 kyr BP),University of Bern
426.46,40837.0, ,201.4,0.8,Taylor Dome (19-63 kyr BP),University of Bern
427.06,40990.0, ,198.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern
429.3,41620.0, ,201.4,0.7,Taylor Dome (19-63 kyr BP),University of Bern
430.13,41895.0, ,201.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern
430.83,42131.0, ,202.2,0.9,Taylor Dome (19-63 kyr BP),University of Bern
431.52,42342.0, ,201.9,1.0,Taylor Dome (19-63 kyr BP),University of Bern
434.75,43252.0, ,199.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern
436.05,43612.0, ,201.7,0.8,Taylor Dome (19-63 kyr BP),University of Bern
436.93,43879.0, ,205.0,0.6,Taylor Dome (19-63 kyr BP),University of Bern
438.21,44239.0, ,210.0,0.6,Taylor Dome (19-63 kyr BP),University of Bern
438.92,44439.0, ,214.0,0.8,Taylor Dome (19-63 kyr BP),University of Bern
439.83,44700.0, ,216.2,1.4,Taylor Dome (19-63 kyr BP),University of Bern
441.02,45010.0, ,214.6,0.2,Taylor Dome (19-63 kyr BP),University of Bern
441.8,45222.0, ,215.7,0.6,Taylor Dome (19-63 kyr BP),University of Bern
