Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
149.1,2690.0,,284.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
173.1,3897.0,3661.93,272.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
177.4,4124.0,3746.63,268.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
228.6,6735.0,6449.18,262.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
250.3,7873.0,7567.35,254.5,0,Vostok (0-440 kyr BP),LGGE Grenoble
266.0,8670.0,8167.45,259.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
302.6,10167.0,10555.89,261.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
321.2,10983.0,11326.34,263.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
331.6,11422.0,11960.78,244.8,0,Vostok (0-440 kyr BP),LGGE Grenoble
342.1,11881.0,12630.15,238.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
365.5,13356.0,14177.93,236.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
375.6,14010.0,14984.56,225.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
443.5,20023.0,20662.23,182.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
470.8,22827.0,22997.44,189.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
506.4,25994.0,27490.58,191.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
544.7,29063.0,30633.42,188.5,0,Vostok (0-440 kyr BP),LGGE Grenoble
554.2,30020.0,31336.23,191.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
602.3,35009.0,36036.89,205.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
625.6,37471.0,38058.5,209.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
700.2,43500.0,44888.88,209.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
765.0,47336.0,49242.9,189.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
788.2,48854.0,50788.82,188.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
800.0,49690.0,51894.1,210.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
812.2,50663.0,52841.93,215.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
834.8,52382.0,53933.34,190.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
902.2,57088.0,58215.13,221.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
912.0,57657.0,59477.3,210.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
986.2,62859.0,65222.91,195.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
1011.3,64939.0,66826.03,191.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
1023.5,65939.0,67974.7,194.9,0,Vostok (0-440 kyr BP),LGGE Grenoble
1087.2,71049.0,72700.34,227.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
1112.5,73227.0,74350.68,229.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1162.1,77150.0,78559.11,217.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1175.0,78183.0,79529.65,221.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
1209.9,80614.0,81582.8,230.9,0,Vostok (0-440 kyr BP),LGGE Grenoble
1237.2,82417.0,83327.58,241.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1251.5,83333.0,84218.33,236.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
1261.2,84016.0,84521.4,228.0,0,Vostok (0-440 kyr BP),LGGE Grenoble
1274.2,85020.0,85266.82,214.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
1289.2,86181.0,86599.3,217.0,0,Vostok (0-440 kyr BP),LGGE Grenoble
1309.2,87917.0,88092.94,208.0,0,Vostok (0-440 kyr BP),LGGE Grenoble
1338.2,90357.0,90331.35,224.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
1349.0,91249.0,91441.7,228.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
1387.2,94353.0,94216.26,232.0,0,Vostok (0-440 kyr BP),LGGE Grenoble
1451.5,99849.0,99545.18,225.8,0,Vostok (0-440 kyr BP),LGGE Grenoble
1463.2,100837.0,100771.8,230.8,0,Vostok (0-440 kyr BP),LGGE Grenoble
1476.1,101749.0,101336.8,236.9,0,Vostok (0-440 kyr BP),LGGE Grenoble
1505.0,103465.0,103892.0,228.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1526.3,104704.0,105260.2,236.9,0,Vostok (0-440 kyr BP),LGGE Grenoble
1542.1,105636.0,106419.65,230.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
1575.2,107579.0,109117.8,238.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
1582.8,108153.0,109766.4,245.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
1598.0,109804.0,111501.0,251.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
1615.0,111862.0,113309.0,256.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
1627.9,113262.0,114437.25,266.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
1637.6,114096.0,115269.2,261.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
1644.0,114601.0,115664.0,274.5,0,Vostok (0-440 kyr BP),LGGE Grenoble
1651.0,115118.0,116071.0,273.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
1669.2,116501.0,117287.4,262.5,0,Vostok (0-440 kyr BP),LGGE Grenoble
1687.2,117750.0,118266.0,267.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
1700.9,118649.0,118967.75,273.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
1716.0,119672.0,119923.0,271.9,0,Vostok (0-440 kyr BP),LGGE Grenoble
1726.8,120382.0,120584.6,265.2,0,Vostok (0-440 kyr BP),LGGE Grenoble
1736.8,121017.0,121172.6,277.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
1758.2,122344.0,122447.2,272.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1770.0,123070.0,123087.0,276.4,0,Vostok (0-440 kyr BP),LGGE Grenoble
1789.2,124213.0,124161.2,268.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
1790.0,124257.0,124206.0,266.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
1799.0,124789.0,124716.0,266.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
1804.0,125081.0,125006.0,279.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
1807.0,125262.0,125194.0,273.0,0,Vostok (0-440 kyr BP),LGGE Grenoble
1810.0,125434.0,125381.0,277.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1825.7,126347.0,126023.15,273.7,0,Vostok (0-440 kyr BP),LGGE Grenoble
1830.0,126598.0,126110.0,267.1,0,Vostok (0-440 kyr BP),LGGE Grenoble
1836.0,126886.0,126451.0,262.5,0,Vostok (0-440 kyr BP),LGGE Grenoble
1841.6,127132.0,126990.8,262.6,0,Vostok (0-440 kyr BP),LGGE Grenoble
1852.4,127622.0,127575.0,275.3,0,Vostok (0-440 kyr BP),LGGE Grenoble
