Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni,"Gasage (TALDICE-1a, yr BP)","Gasage (EDML1 Sz4, yr BP)",Reference,"Age (Ahn et al., 2008)",source file
380.82,18906.0, ,190.5,1.0,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
382.42,23379.0, ,189.1,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
382.76,24011.0, ,189.0,1.4,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
383.54,25337.0, ,187.7,1.0,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
385.33,27507.0, ,195.2,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
385.64,27781.0, ,194.1,0.4,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
386.62,28527.0, ,196.1,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
387.66,29238.0, ,194.0,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
388.52,29772.0, ,191.1,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
389.7,30407.0, ,193.5,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
390.71,30881.0, ,196.8,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
391.63,31308.0, ,199.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
392.62,31700.0, ,199.1,0.2,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
393.55,32090.0, ,200.4,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
395.32,32771.0, ,200.2,0.3,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
396.42,33161.0, ,200.1,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
396.98,33341.0, ,201.6,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
397.64,33580.0, ,200.9,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
398.61,33913.0, ,203.6,0.4,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
400.02,34364.0, ,205.3,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
405.53,36061.0, ,208.8,0.3,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
406.6,36378.0, ,213.0,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
407.73,36695.0, ,211.3,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
408.54,36883.0, ,212.6,1.1,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
411.31,37545.0, ,213.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
412.24,37740.0, ,210.8,0.4,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
413.11,37949.0, ,209.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
413.97,38149.0, ,210.6,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
416.37,38679.0, ,210.3,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
416.99,38826.0, ,207.8,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
418.27,39100.0, ,205.7,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
419.39,39345.0, ,198.6,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
420.31,39527.0, ,196.4,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
422.53,39960.0, ,197.5,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
424.75,40427.0, ,198.2,0.3,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
426.46,40837.0, ,201.4,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
427.06,40990.0, ,198.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
429.3,41620.0, ,201.4,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
430.13,41895.0, ,201.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
430.83,42131.0, ,202.2,0.9,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
431.52,42342.0, ,201.9,1.0,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
434.75,43252.0, ,199.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
436.05,43612.0, ,201.7,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
436.93,43879.0, ,205.0,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
438.21,44239.0, ,210.0,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
438.92,44439.0, ,214.0,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
439.83,44700.0, ,216.2,1.4,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
441.02,45010.0, ,214.6,0.2,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
441.8,45222.0, ,215.7,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
442.76,45466.0, ,210.6,0.8,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
444.23,45839.0, ,206.6,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
446.42,46511.0, ,203.1,0.9,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
447.42,46935.0, ,200.0,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
447.93,47175.0, ,199.1,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
449.24,47916.0, ,202.1,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
450.05,48488.0, ,206.9,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
450.83,49104.0, ,206.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
452.33,50357.0, ,212.3,0.5,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
452.99,50928.0, ,214.3,1.1,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
453.52,51367.0, ,218.0,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
455.16,52618.0, ,216.9,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
456.72,53630.0, ,211.7,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
457.62,54250.0, ,210.8,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
458.73,55053.0, ,208.0,0.9,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
459.81,55927.0, ,211.5,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
461.92,57477.0, ,218.2,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
464.13,58891.0, ,220.4,0.9,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
465.02,59474.0, ,215.0,0.9,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
465.74,59955.0, ,214.9,0.6,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
466.48,60431.0, ,212.5,0.7,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
467.78,61239.0, ,204.6,0.4,Taylor Dome (19-63 kyr BP),University of Bern,,,,,grl52461-sup-0003-supplementary.csv
