Depth (m),"Age (Ahn et al., 2008)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
1315.91,19286.00,#N/A,194.36,0.97,Byrd (19-88 kyr BP),Oregon State University
1332.34,19887.00,#N/A,191.14,0.19,Byrd (19-88 kyr BP),Oregon State University
1334.20,19978.00,#N/A,192.54,0.09,Byrd (19-88 kyr BP),Oregon State University
1346.28,20404.00,#N/A,204.27,0.48,Byrd (19-88 kyr BP),Oregon State University
1353.02,20585.00,21248.63,195.37,0.02,Byrd (19-88 kyr BP),Oregon State University
1363.17,20891.00,21503.37,197.12,1.04,Byrd (19-88 kyr BP),Oregon State University
1381.14,21557.00,22078.43,195.81,1.66,Byrd (19-88 kyr BP),Oregon State University
1401.95,22225.00,22553.14,199.75,4.49,Byrd (19-88 kyr BP),Oregon State University
1410.30,22555.00,22754.54,194.62,0.31,Byrd (19-88 kyr BP),Oregon State University
1420.27,23356.00,23071.96,195.97,1.88,Byrd (19-88 kyr BP),Oregon State University
1430.78,24650.00,23629.83,194.74,1.94,Byrd (19-88 kyr BP),Oregon State University
1441.45,25828.00,24116.47,189.76,1.30,Byrd (19-88 kyr BP),Oregon State University
1460.20,26537.00,25307.18,192.21,1.28,Byrd (19-88 kyr BP),Oregon State University
1470.77,26974.00,25995.22,184.40,1.42,Byrd (19-88 kyr BP),Oregon State University
1480.48,27445.00,26512.06,188.07,1.48,Byrd (19-88 kyr BP),Oregon State University
1490.87,27815.00,27259.04,201.96,0.46,Byrd (19-88 kyr BP),Oregon State University
1496.52,27961.00,27693.17,204.98,1.71,Byrd (19-88 kyr BP),Oregon State University
1503.54,28221.00,28071.09,205.91,2.43,Byrd (19-88 kyr BP),Oregon State University
1512.46,28486.00,28441.65,207.48,1.73,Byrd (19-88 kyr BP),Oregon State University
1523.46,28973.00,28936.90,205.54,0.40,Byrd (19-88 kyr BP),Oregon State University
1533.76,29396.00,29378.51,201.49,1.84,Byrd (19-88 kyr BP),Oregon State University
1543.63,29843.00,29838.66,197.51,3.18,Byrd (19-88 kyr BP),Oregon State University
1552.76,30245.00,30249.94,195.36,0.89,Byrd (19-88 kyr BP),Oregon State University
1573.34,31053.00,31385.13,195.09,2.37,Byrd (19-88 kyr BP),Oregon State University
