Depth (m),"Gasage (EDC3, yr BP).2","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
2761.85,415717.00,415945.61,276.40,1.60,Dome C (393-664 kyr BP),University of Bern
2762.89,416193.00,416425.32,271.70,1.20,Dome C (393-664 kyr BP),University of Bern
2765.08,417191.00,417440.44,273.40,1.50,Dome C (393-664 kyr BP),University of Bern
2766.18,417698.00,417956.78,271.80,1.70,Dome C (393-664 kyr BP),University of Bern
2767.33,418245.00,418505.30,274.60,1.80,Dome C (393-664 kyr BP),University of Bern
2769.48,419260.00,419575.78,273.70,0.80,Dome C (393-664 kyr BP),University of Bern
2770.58,419808.00,420133.76,271.20,1.50,Dome C (393-664 kyr BP),University of Bern
2771.68,420350.00,420701.76,273.80,1.60,Dome C (393-664 kyr BP),University of Bern
2773.88,421484.00,421912.15,268.60,1.40,Dome C (393-664 kyr BP),University of Bern
2774.96,422074.00,422532.65,266.40,1.80,Dome C (393-664 kyr BP),University of Bern
2776.13,422649.00,423225.50,270.60,1.10,Dome C (393-664 kyr BP),University of Bern
2778.28,423764.00,424507.75,267.70,2.90,Dome C (393-664 kyr BP),University of Bern
2779.39,424332.00,425132.26,268.30,1.90,Dome C (393-664 kyr BP),University of Bern
2780.48,424840.00,425740.91,270.80,1.10,Dome C (393-664 kyr BP),University of Bern
2781.32,425242.00,426237.27,270.00,2.50,Dome C (393-664 kyr BP),University of Bern
2781.96,425569.00,426621.56,265.40,2.00,Dome C (393-664 kyr BP),University of Bern
2782.73,425975.00,427154.96,255.30,1.30,Dome C (393-664 kyr BP),University of Bern
2783.81,426598.00,427941.40,252.10,0.70,Dome C (393-664 kyr BP),University of Bern
2784.88,427285.00,428840.20,248.20,0.90,Dome C (393-664 kyr BP),University of Bern
2785.27,427566.00,429178.36,242.50,1.50,Dome C (393-664 kyr BP),University of Bern
2787.08,429006.00,431023.76,219.70,1.70,Dome C (393-664 kyr BP),University of Bern
2788.03,429876.00,432179.31,227.20,2.20,Dome C (393-664 kyr BP),University of Bern
2789.29,431063.00,433850.30,211.50,1.70,Dome C (393-664 kyr BP),University of Bern
2789.67,431445.00,434379.07,207.60,1.30,Dome C (393-664 kyr BP),University of Bern
2790.78,432599.00,435939.69,209.80,1.60,Dome C (393-664 kyr BP),University of Bern
2791.87,433674.00,437485.42,207.50,1.30,Dome C (393-664 kyr BP),University of Bern
2792.97,434804.00,439063.42,200.30,1.60,Dome C (393-664 kyr BP),University of Bern
2794.08,435989.00,440659.58,201.70,1.60,Dome C (393-664 kyr BP),University of Bern
2795.17,437152.00,442230.78,201.30,1.10,Dome C (393-664 kyr BP),University of Bern
2796.28,438356.00,443844.65,202.00,1.50,Dome C (393-664 kyr BP),University of Bern
2797.38,439565.00,445331.73,199.10,1.10,Dome C (393-664 kyr BP),University of Bern
2798.92,441220.00,447219.18,201.10,0.90,Dome C (393-664 kyr BP),University of Bern
2800.02,442411.00,448459.18,203.50,0.60,Dome C (393-664 kyr BP),University of Bern
2801.13,443562.00,449571.04,208.10,1.80,Dome C (393-664 kyr BP),University of Bern
2802.21,444650.00,450642.89,201.70,1.70,Dome C (393-664 kyr BP),University of Bern
2803.33,445829.00,451747.28,201.20,2.10,Dome C (393-664 kyr BP),University of Bern
2804.42,446984.00,452735.84,204.90,1.40,Dome C (393-664 kyr BP),University of Bern
2805.52,448103.00,453775.64,201.90,1.80,Dome C (393-664 kyr BP),University of Bern
2806.62,449244.00,454864.31,198.40,1.30,Dome C (393-664 kyr BP),University of Bern
2807.72,450455.00,456001.61,193.30,1.60,Dome C (393-664 kyr BP),University of Bern
2808.82,451593.00,457114.44,192.50,1.00,Dome C (393-664 kyr BP),University of Bern
2809.46,452283.00,457745.13,199.10,0.60,Dome C (393-664 kyr BP),University of Bern
2809.93,452795.00,458208.29,204.30,1.00,Dome C (393-664 kyr BP),University of Bern
2810.56,453514.00,458794.01,203.30,1.00,Dome C (393-664 kyr BP),University of Bern
2811.01,454023.00,459211.55,208.30,1.40,Dome C (393-664 kyr BP),University of Bern
2812.12,455279.00,460252.21,202.40,1.30,Dome C (393-664 kyr BP),University of Bern
2813.21,456591.00,461286.06,195.50,0.80,Dome C (393-664 kyr BP),University of Bern
2814.32,458049.00,462414.10,190.70,1.90,Dome C (393-664 kyr BP),University of Bern
2815.43,459430.00,463526.65,194.40,0.70,Dome C (393-664 kyr BP),University of Bern
2816.52,460792.00,464599.47,199.90,2.60,Dome C (393-664 kyr BP),University of Bern
2817.25,461687.00,465265.36,205.20,0.90,Dome C (393-664 kyr BP),University of Bern
2817.62,462133.00,465601.73,210.00,0.70,Dome C (393-664 kyr BP),University of Bern
2818.72,463456.00,466632.30,208.10,2.20,Dome C (393-664 kyr BP),University of Bern
2819.83,464866.00,467706.64,204.40,1.90,Dome C (393-664 kyr BP),University of Bern
2820.92,466265.00,468877.71,203.40,1.20,Dome C (393-664 kyr BP),University of Bern
2822.01,467602.00,470040.13,205.50,0.90,Dome C (393-664 kyr BP),University of Bern
2822.66,468323.00,470725.98,206.50,0.90,Dome C (393-664 kyr BP),University of Bern
2823.11,468810.00,471200.79,215.50,2.30,Dome C (393-664 kyr BP),University of Bern
2823.76,469470.00,471824.53,218.70,0.90,Dome C (393-664 kyr BP),University of Bern
