Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv).3,station,uni
3026.58,611269.00,611555.76,257.80,2.10,Dome C (611-800 kyr BP),University of Bern
3030.97,616164.00,616298.56,252.60,0.60,Dome C (611-800 kyr BP),University of Bern
3036.44,623109.00,622946.80,243.30,2.80,Dome C (611-800 kyr BP),University of Bern
3040.87,630183.00,629768.93,204.40,0.90,Dome C (611-800 kyr BP),University of Bern
3043.07,635364.00,634879.92,195.00,1.50,Dome C (611-800 kyr BP),University of Bern
3055.18,658404.00,657660.70,187.50,1.80,Dome C (611-800 kyr BP),University of Bern
3056.25,659983.00,659293.00,185.60,1.10,Dome C (611-800 kyr BP),University of Bern
3057.36,661563.00,661113.40,192.10,1.00,Dome C (611-800 kyr BP),University of Bern
3058.47,663133.00,662798.42,192.00,2.10,Dome C (611-800 kyr BP),University of Bern
3059.55,664597.00,664326.18,190.60,1.30,Dome C (611-800 kyr BP),University of Bern
3060.33,665645.00,665328.36,178.20,1.10,Dome C (611-800 kyr BP),University of Bern
3060.73,666174.00,665842.30,178.50,1.10,Dome C (611-800 kyr BP),University of Bern
3061.36,666995.00,666750.47,172.70,1.00,Dome C (611-800 kyr BP),University of Bern
3061.82,667569.00,667415.93,171.60,1.40,Dome C (611-800 kyr BP),University of Bern
3062.53,668447.00,668418.41,175.60,0.70,Dome C (611-800 kyr BP),University of Bern
3062.93,668934.00,668921.19,178.50,0.70,Dome C (611-800 kyr BP),University of Bern
3063.64,669751.00,669813.64,185.50,0.20,Dome C (611-800 kyr BP),University of Bern
3064.02,670176.00,670291.29,189.30,0.90,Dome C (611-800 kyr BP),University of Bern
3064.76,670916.00,671076.01,192.60,1.00,Dome C (611-800 kyr BP),University of Bern
3065.12,671286.00,671454.77,194.60,0.70,Dome C (611-800 kyr BP),University of Bern
3065.76,671926.00,672144.89,192.50,0.60,Dome C (611-800 kyr BP),University of Bern
3066.22,672386.00,672757.39,194.80,1.00,Dome C (611-800 kyr BP),University of Bern
3066.93,673095.00,673702.76,198.70,1.00,Dome C (611-800 kyr BP),University of Bern
3067.33,673475.00,674235.37,202.30,0.70,Dome C (611-800 kyr BP),University of Bern
3068.07,674173.00,675030.00,209.20,0.60,Dome C (611-800 kyr BP),University of Bern
3068.42,674521.00,675403.33,213.70,0.80,Dome C (611-800 kyr BP),University of Bern
3069.52,675589.00,676527.82,220.00,0.80,Dome C (611-800 kyr BP),University of Bern
3070.16,676170.00,677150.36,217.40,0.60,Dome C (611-800 kyr BP),University of Bern
3070.62,676524.00,677597.82,214.00,0.90,Dome C (611-800 kyr BP),University of Bern
3071.33,677068.00,678333.38,215.60,1.40,Dome C (611-800 kyr BP),University of Bern
3071.72,677380.00,678738.50,217.40,1.50,Dome C (611-800 kyr BP),University of Bern
3072.44,677984.00,679451.81,226.50,0.80,Dome C (611-800 kyr BP),University of Bern
3072.80,678291.00,679736.76,230.00,0.90,Dome C (611-800 kyr BP),University of Bern
3073.53,678914.00,680314.56,230.80,0.60,Dome C (611-800 kyr BP),University of Bern
