Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
102.83,137.00,350.11,280.40,1.80,Dome C,University of Bern
106.89,268.00,486.69,274.90,0.70,Dome C,University of Bern
107.20,279.00,501.20,277.90,0.70,Dome C,University of Bern
110.25,395.00,539.65,279.10,1.30,Dome C,University of Bern
110.50,404.00,539.89,281.90,1.10,Dome C,University of Bern
113.27,485.00,657.69,277.70,0.70,Dome C,University of Bern
115.48,559.00,762.16,281.10,1.10,Dome C,University of Bern
118.62,672.00,867.61,282.20,0.50,Dome C,University of Bern
121.50,754.00,961.07,280.10,0.60,Dome C,University of Bern
124.82,877.00,1109.50,278.40,1.50,Dome C,University of Bern
127.02,950.00,1168.29,276.60,1.40,Dome C,University of Bern
129.75,1060.00,1256.85,279.10,1.00,Dome C,University of Bern
132.50,1153.00,1315.27,277.70,1.20,Dome C,University of Bern
134.72,1233.00,1387.27,278.70,1.20,Dome C,University of Bern
138.02,1350.00,1477.17,277.40,0.80,Dome C,University of Bern
141.30,1453.00,1653.13,279.20,0.90,Dome C,University of Bern
144.05,1552.00,1729.03,280.00,0.80,Dome C,University of Bern
146.27,1638.00,1816.60,278.90,0.80,Dome C,University of Bern
149.02,1733.00,1901.97,278.70,0.70,Dome C,University of Bern
151.20,1812.00,1999.71,278.00,1.20,Dome C,University of Bern
154.50,1931.00,2093.36,276.90,0.70,Dome C,University of Bern
157.82,2057.00,2234.24,276.70,0.80,Dome C,University of Bern
160.03,2128.00,2265.55,276.70,0.80,Dome C,University of Bern
162.17,2212.00,2414.32,277.60,1.30,Dome C,University of Bern
165.52,2334.00,2526.12,277.90,0.50,Dome C,University of Bern
168.28,2433.00,2628.02,273.90,1.10,Dome C,University of Bern
171.00,2536.00,2708.48,278.90,0.60,Dome C,University of Bern
173.14,2604.00,2801.76,275.30,1.60,Dome C,University of Bern
176.52,2728.00,2904.55,274.70,1.20,Dome C,University of Bern
178.72,2806.00,2948.82,276.30,0.90,Dome C,University of Bern
181.45,2902.00,3056.60,274.60,0.80,Dome C,University of Bern
185.85,3053.00,3255.73,276.30,1.50,Dome C,University of Bern
187.52,3116.00,3283.66,273.10,1.10,Dome C,University of Bern
189.72,3215.00,3431.12,274.00,0.30,Dome C,University of Bern
193.00,3336.00,3528.29,275.00,0.60,Dome C,University of Bern
196.30,3453.00,3644.46,273.40,1.30,Dome C,University of Bern
198.52,3523.00,3693.41,273.00,0.80,Dome C,University of Bern
201.28,3622.00,3806.86,271.50,1.00,Dome C,University of Bern
204.00,3721.00,3856.17,275.40,0.50,Dome C,University of Bern
206.20,3790.00,3968.95,274.90,1.30,Dome C,University of Bern
209.52,3910.00,4108.67,271.70,1.00,Dome C,University of Bern
212.27,4004.00,4205.84,271.60,0.70,Dome C,University of Bern
215.00,4096.00,4275.08,272.80,0.80,Dome C,University of Bern
216.65,4161.00,4342.82,271.50,0.90,Dome C,University of Bern
221.05,4324.00,4494.36,271.10,0.80,Dome C,University of Bern
222.72,4374.00,4592.82,269.10,0.60,Dome C,University of Bern
225.48,4480.00,4647.46,269.80,1.00,Dome C,University of Bern
228.20,4573.00,4773.00,271.50,0.80,Dome C,University of Bern
232.05,4703.00,4921.20,270.70,0.50,Dome C,University of Bern
233.72,4766.00,4981.58,269.30,1.00,Dome C,University of Bern
236.47,4874.00,5086.79,268.60,1.10,Dome C,University of Bern
240.27,5004.00,5218.57,269.80,1.20,Dome C,University of Bern
242.50,5094.00,5311.18,267.60,0.60,Dome C,University of Bern
244.72,5160.00,5357.55,265.30,1.70,Dome C,University of Bern
248.02,5274.00,5533.29,265.20,0.80,Dome C,University of Bern
250.72,5370.00,5581.30,267.60,2.00,Dome C,University of Bern
253.50,5476.00,5757.61,265.90,0.90,Dome C,University of Bern
256.27,5562.00,5852.26,265.50,0.80,Dome C,University of Bern
259.02,5657.00,5934.09,260.70,1.60,Dome C,University of Bern
260.65,5716.00,5999.38,266.70,0.90,Dome C,University of Bern
264.50,5855.00,6089.81,265.50,0.80,Dome C,University of Bern
268.37,5998.00,6301.96,263.20,0.60,Dome C,University of Bern
269.42,6039.00,6337.21,262.70,0.90,Dome C,University of Bern
272.20,6131.00,6401.24,261.20,0.70,Dome C,University of Bern
276.07,6263.00,6572.29,261.10,0.40,Dome C,University of Bern
278.27,6354.00,6682.55,259.40,0.60,Dome C,University of Bern
280.53,6434.00,6769.65,262.10,0.90,Dome C,University of Bern
283.72,6545.00,6880.31,262.90,0.50,Dome C,University of Bern
285.97,6617.00,6970.08,258.10,1.40,Dome C,University of Bern
288.17,6713.00,7038.27,257.60,0.90,Dome C,University of Bern
292.00,6838.00,7188.07,262.30,0.90,Dome C,University of Bern
294.75,6941.00,7274.01,263.00,0.70,Dome C,University of Bern
297.52,7028.00,7405.32,260.70,0.60,Dome C,University of Bern
299.72,7112.00,7497.87,258.40,0.80,Dome C,University of Bern
303.00,7234.00,7661.37,260.10,0.60,Dome C,University of Bern
305.75,7320.00,7719.59,260.40,0.40,Dome C,University of Bern
308.52,7413.00,7860.18,259.70,0.90,Dome C,University of Bern
311.26,7507.00,7926.37,259.20,0.70,Dome C,University of Bern
314.00,7590.00,7975.85,260.80,1.40,Dome C,University of Bern
316.75,7691.00,8116.28,259.60,0.50,Dome C,University of Bern
319.52,7781.00,8194.80,259.30,0.90,Dome C,University of Bern
322.27,7876.00,8351.88,258.30,1.20,Dome C,University of Bern
325.00,7990.00,8459.68,261.30,0.90,Dome C,University of Bern
326.55,8050.00,8546.58,260.70,0.40,Dome C,University of Bern
330.50,8181.00,8710.68,261.80,1.00,Dome C,University of Bern
333.27,8281.00,8781.28,259.00,1.10,Dome C,University of Bern
336.02,8387.00,8911.85,260.90,0.70,Dome C,University of Bern
338.65,8477.00,8992.99,260.40,0.60,Dome C,University of Bern
341.50,8579.00,9060.17,259.30,1.00,Dome C,University of Bern
343.72,8653.00,9143.01,262.00,0.80,Dome C,University of Bern
347.02,8784.00,9295.31,263.70,1.20,Dome C,University of Bern
349.75,8869.00,9361.12,263.80,0.80,Dome C,University of Bern
352.58,8973.00,9436.70,265.20,0.90,Dome C,University of Bern
355.82,9092.00,9518.06,260.60,1.70,Dome C,University of Bern
357.47,9140.00,9524.44,260.90,0.60,Dome C,University of Bern
360.20,9232.00,9555.86,263.00,0.40,Dome C,University of Bern
362.98,9317.00,9573.27,263.80,1.20,Dome C,University of Bern
369.55,9536.00,9901.04,264.40,0.40,Dome C,University of Bern
371.23,9597.00,9992.61,264.20,0.90,Dome C,University of Bern
375.05,9721.00,10134.50,264.00,0.30,Dome C,University of Bern
377.27,9807.00,10192.95,263.40,0.10,Dome C,University of Bern
380.00,9909.00,10299.55,265.70,0.50,Dome C,University of Bern
382.22,9983.00,10366.56,264.90,0.40,Dome C,University of Bern
385.13,10088.00,10505.55,267.50,0.40,Dome C,University of Bern
388.23,10209.00,10680.48,266.90,0.60,Dome C,University of Bern
390.45,10294.00,10801.81,266.00,1.10,Dome C,University of Bern
393.78,10417.00,10835.74,265.10,1.60,Dome C,University of Bern
396.50,10527.00,10954.48,267.60,0.70,Dome C,University of Bern
399.28,10621.00,11089.62,264.80,0.60,Dome C,University of Bern
402.00,10744.00,11161.06,264.80,0.40,Dome C,University of Bern
404.19,10805.00,11185.87,265.00,0.80,Dome C,University of Bern
404.78,10827.00,11200.58,265.30,0.40,Dome C,University of Bern
406.39,10895.00,11256.57,264.40,1.50,Dome C,University of Bern
407.50,10933.00,11316.98,264.10,0.70,Dome C,University of Bern
409.70,11014.00,11437.70,264.20,1.10,Dome C,University of Bern
411.38,11087.00,11515.26,264.50,0.40,Dome C,University of Bern
413.03,11136.00,11529.66,264.00,0.50,Dome C,University of Bern
414.75,11201.00,11534.10,263.00,1.30,Dome C,University of Bern
415.73,11236.00,11537.37,265.20,0.80,Dome C,University of Bern
417.07,11278.00,11540.76,258.80,0.70,Dome C,University of Bern
418.53,11338.00,11548.38,260.80,0.50,Dome C,University of Bern
420.49,11392.00,11612.22,255.40,0.30,Dome C,University of Bern
421.80,11436.00,11688.03,253.90,0.60,Dome C,University of Bern
422.90,11469.00,11753.75,253.80,0.80,Dome C,University of Bern
426.10,11580.00,11940.54,250.70,1.10,Dome C,University of Bern
427.33,11635.00,12017.84,249.70,0.40,Dome C,University of Bern
428.30,11676.00,12078.12,251.10,0.30,Dome C,University of Bern
429.50,11727.00,12154.81,250.70,0.90,Dome C,University of Bern
431.73,11819.00,12313.15,245.30,1.10,Dome C,University of Bern
433.79,11896.00,12404.35,245.30,0.60,Dome C,University of Bern
435.00,11958.00,12442.46,246.60,0.50,Dome C,University of Bern
437.23,12050.00,12507.83,243.20,0.40,Dome C,University of Bern
438.85,12122.00,12579.48,240.30,0.30,Dome C,University of Bern
443.80,12371.00,12822.31,237.50,0.50,Dome C,University of Bern
446.03,12496.00,12952.88,237.60,0.60,Dome C,University of Bern
448.75,12642.00,13199.16,234.20,0.30,Dome C,University of Bern
450.98,12760.00,13436.52,238.30,1.10,Dome C,University of Bern
454.25,12942.00,13626.91,237.30,0.50,Dome C,University of Bern
457.03,13090.00,13726.49,237.90,0.20,Dome C,University of Bern
459.90,13241.00,13912.00,237.60,0.60,Dome C,University of Bern
463.63,13440.00,14188.66,236.40,0.90,Dome C,University of Bern
465.25,13542.00,14248.77,239.20,0.50,Dome C,University of Bern
467.45,13653.00,14262.34,238.60,0.60,Dome C,University of Bern
470.20,13804.00,14385.88,238.60,0.30,Dome C,University of Bern
473.06,13948.00,14580.80,239.10,0.40,Dome C,University of Bern
479.71,14303.00,14811.11,228.50,0.60,Dome C,University of Bern
484.10,14550.00,15137.32,228.40,0.70,Dome C,University of Bern
487.25,14725.00,15421.77,226.10,0.60,Dome C,University of Bern
490.03,14890.00,15657.26,225.20,0.50,Dome C,University of Bern
492.20,15012.00,15790.43,224.50,0.60,Dome C,University of Bern
496.07,15233.00,15936.96,222.00,0.80,Dome C,University of Bern
499.35,15438.00,16063.84,221.00,0.80,Dome C,University of Bern
501.58,15570.00,16133.91,220.90,0.50,Dome C,University of Bern
504.20,15742.00,16396.39,219.40,0.60,Dome C,University of Bern
506.53,15886.00,16723.10,214.00,0.80,Dome C,University of Bern
509.25,16073.00,16971.38,207.50,0.90,Dome C,University of Bern
512.03,16260.00,17155.36,207.70,0.50,Dome C,University of Bern
514.75,16452.00,17288.43,202.90,0.70,Dome C,University of Bern
517.53,16659.00,17395.16,200.80,1.00,Dome C,University of Bern
520.25,16870.00,17708.47,195.20,0.30,Dome C,University of Bern
523.03,17111.00,18212.71,193.90,0.50,Dome C,University of Bern
526.30,17375.00,18499.21,191.00,0.50,Dome C,University of Bern
528.53,17565.00,18639.53,188.50,0.70,Dome C,University of Bern
531.25,17809.00,18908.21,188.50,0.70,Dome C,University of Bern
532.93,17943.00,19113.55,189.20,0.40,Dome C,University of Bern
536.75,18285.00,19438.10,187.00,0.20,Dome C,University of Bern
539.53,18541.00,19605.70,188.60,0.50,Dome C,University of Bern
542.90,18828.00,19827.75,189.40,0.40,Dome C,University of Bern
