Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
445.00,12789.00,12890.31,237.63,0.73,EDC (12-24 kyr BP),University of Bern
455.30,13371.00,13665.23,238.59,2.70,EDC (12-24 kyr BP),University of Bern
461.50,13705.00,14033.38,239.64,0.62,EDC (12-24 kyr BP),University of Bern
466.45,13974.00,14250.63,240.84,1.93,EDC (12-24 kyr BP),University of Bern
486.27,15101.00,15335.65,227.77,2.14,EDC (12-24 kyr BP),University of Bern
493.76,15513.00,15845.26,225.01,NAN,EDC (12-24 kyr BP),University of Bern
502.20,16067.00,16185.43,222.92,0.99,EDC (12-24 kyr BP),University of Bern
511.05,16689.00,17092.36,210.65,NAN,EDC (12-24 kyr BP),University of Bern
520.90,17091.00,17828.58,197.60,0.65,EDC (12-24 kyr BP),University of Bern
525.11,17246.00,18420.96,193.61,NAN,EDC (12-24 kyr BP),University of Bern
538.00,17855.00,19521.78,188.38,NAN,EDC (12-24 kyr BP),University of Bern
547.35,18546.00,20069.49,189.92,NAN,EDC (12-24 kyr BP),University of Bern
554.85,19204.00,20683.18,187.59,4.06,EDC (12-24 kyr BP),University of Bern
559.41,19652.00,21280.34,190.55,0.29,EDC (12-24 kyr BP),University of Bern
560.50,19774.00,21382.60,188.83,1.77,EDC (12-24 kyr BP),University of Bern
562.53,20013.00,21426.14,189.89,0.64,EDC (12-24 kyr BP),University of Bern
570.43,20912.00,21891.56,187.25,1.28,EDC (12-24 kyr BP),University of Bern
575.78,21500.00,22117.93,191.58,0.59,EDC (12-24 kyr BP),University of Bern
578.62,21795.00,22294.48,190.53,0.60,EDC (12-24 kyr BP),University of Bern
581.80,22091.00,22490.95,191.63,1.09,EDC (12-24 kyr BP),University of Bern
583.60,22190.00,22595.82,192.16,1.66,EDC (12-24 kyr BP),University of Bern
591.70,22687.00,23120.97,193.59,0.52,EDC (12-24 kyr BP),University of Bern
595.70,22938.00,23435.60,191.50,2.31,EDC (12-24 kyr BP),University of Bern
609.28,24143.00,25171.13,189.96,0.44,EDC (12-24 kyr BP),University of Bern
611.50,24382.00,25396.82,187.07,NAN,EDC (12-24 kyr BP),University of Bern
