Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
346.50,8756.45,9274.20,256.90,0.63,EDC (9-22 kyr BP),LGGE Grenoble
346.50,8756.45,9274.20,261.57,1.27,EDC (9-22 kyr BP),LGGE Grenoble
355.30,9072.05,9516.19,258.30,0.92,EDC (9-22 kyr BP),LGGE Grenoble
376.75,9792.53,10178.30,265.55,0.01,EDC (9-22 kyr BP),LGGE Grenoble
376.75,9792.53,10178.30,258.40,0.24,EDC (9-22 kyr BP),LGGE Grenoble
389.95,10277.65,10801.23,268.00,2.18,EDC (9-22 kyr BP),LGGE Grenoble
393.25,10401.05,10828.07,266.91,1.11,EDC (9-22 kyr BP),LGGE Grenoble
393.25,10401.05,10828.07,268.21,NAN,EDC (9-22 kyr BP),LGGE Grenoble
398.75,10603.80,11063.53,262.80,0.42,EDC (9-22 kyr BP),LGGE Grenoble
410.85,11064.38,11509.00,261.39,NAN,EDC (9-22 kyr BP),LGGE Grenoble
410.85,11064.38,11509.00,262.37,0.84,EDC (9-22 kyr BP),LGGE Grenoble
412.50,11123.60,11528.50,263.23,1.34,EDC (9-22 kyr BP),LGGE Grenoble
418.00,11323.90,11545.10,260.30,0.19,EDC (9-22 kyr BP),LGGE Grenoble
418.00,11323.90,11545.10,258.46,1.57,EDC (9-22 kyr BP),LGGE Grenoble
426.80,11612.36,11984.53,247.84,2.06,EDC (9-22 kyr BP),LGGE Grenoble
426.80,11612.36,11984.53,252.26,2.12,EDC (9-22 kyr BP),LGGE Grenoble
431.20,11796.04,12272.93,246.80,1.09,EDC (9-22 kyr BP),LGGE Grenoble
431.20,11796.04,12272.93,250.44,1.66,EDC (9-22 kyr BP),LGGE Grenoble
436.70,12028.80,12492.70,245.26,0.78,EDC (9-22 kyr BP),LGGE Grenoble
436.70,12028.80,12492.70,244.68,0.22,EDC (9-22 kyr BP),LGGE Grenoble
443.30,12346.39,12795.40,238.67,0.36,EDC (9-22 kyr BP),LGGE Grenoble
447.70,12584.80,13084.93,236.02,1.48,EDC (9-22 kyr BP),LGGE Grenoble
447.70,12584.80,13084.93,237.24,1.45,EDC (9-22 kyr BP),LGGE Grenoble
448.25,12613.90,13144.77,236.96,1.28,EDC (9-22 kyr BP),LGGE Grenoble
448.25,12613.90,13144.77,233.57,1.71,EDC (9-22 kyr BP),LGGE Grenoble
450.45,12734.05,13384.80,238.90,1.01,EDC (9-22 kyr BP),LGGE Grenoble
450.45,12734.05,13384.80,236.98,0.34,EDC (9-22 kyr BP),LGGE Grenoble
453.20,12888.56,13587.73,238.02,0.25,EDC (9-22 kyr BP),LGGE Grenoble
453.75,12918.15,13608.70,237.63,1.15,EDC (9-22 kyr BP),LGGE Grenoble
455.40,13000.34,13668.80,238.02,1.88,EDC (9-22 kyr BP),LGGE Grenoble
458.70,13173.75,13818.40,241.54,2.28,EDC (9-22 kyr BP),LGGE Grenoble
458.70,13173.75,13818.40,241.97,0.57,EDC (9-22 kyr BP),LGGE Grenoble
459.80,13235.22,13904.20,237.72,1.86,EDC (9-22 kyr BP),LGGE Grenoble
464.75,13511.43,14230.43,238.32,0.78,EDC (9-22 kyr BP),LGGE Grenoble
469.70,13779.71,14355.63,239.00,1.06,EDC (9-22 kyr BP),LGGE Grenoble
473.00,13944.70,14576.73,239.03,0.68,EDC (9-22 kyr BP),LGGE Grenoble
475.20,14066.32,14677.70,241.00,2.13,EDC (9-22 kyr BP),LGGE Grenoble
475.20,14066.32,14677.70,236.98,0.33,EDC (9-22 kyr BP),LGGE Grenoble
477.40,14176.32,14739.57,232.52,1.57,EDC (9-22 kyr BP),LGGE Grenoble
480.70,14356.70,14853.63,228.76,0.49,EDC (9-22 kyr BP),LGGE Grenoble
482.90,14472.94,15024.70,227.70,0.73,EDC (9-22 kyr BP),LGGE Grenoble
486.75,14697.25,15381.10,228.24,1.38,EDC (9-22 kyr BP),LGGE Grenoble
487.85,14756.44,15470.57,227.99,0.93,EDC (9-22 kyr BP),LGGE Grenoble
491.70,14978.41,15772.70,225.44,0.59,EDC (9-22 kyr BP),LGGE Grenoble
498.30,15368.56,16025.40,219.05,1.73,EDC (9-22 kyr BP),LGGE Grenoble
501.05,15541.13,16118.27,221.08,0.22,EDC (9-22 kyr BP),LGGE Grenoble
503.80,15718.18,16344.90,217.69,0.02,EDC (9-22 kyr BP),LGGE Grenoble
504.90,15781.22,16486.50,215.50,NAN,EDC (9-22 kyr BP),LGGE Grenoble
508.75,16040.60,16943.53,210.00,NAN,EDC (9-22 kyr BP),LGGE Grenoble
514.25,16413.28,17266.77,201.12,0.45,EDC (9-22 kyr BP),LGGE Grenoble
517.00,16610.90,17368.43,195.80,0.41,EDC (9-22 kyr BP),LGGE Grenoble
519.75,16834.47,17616.50,194.05,2.03,EDC (9-22 kyr BP),LGGE Grenoble
525.80,17334.84,18466.33,188.63,0.99,EDC (9-22 kyr BP),LGGE Grenoble
530.75,17766.25,18848.30,187.61,1.95,EDC (9-22 kyr BP),LGGE Grenoble
532.40,17906.18,19048.73,188.37,0.35,EDC (9-22 kyr BP),LGGE Grenoble
536.25,18239.12,19404.10,188.26,1.13,EDC (9-22 kyr BP),LGGE Grenoble
539.00,18502.20,19576.63,189.01,0.88,EDC (9-22 kyr BP),LGGE Grenoble
542.85,18823.88,19825.00,189.39,1.11,EDC (9-22 kyr BP),LGGE Grenoble
548.35,19300.40,20120.83,188.37,0.59,EDC (9-22 kyr BP),LGGE Grenoble
552.75,19703.40,20420.60,188.96,0.56,EDC (9-22 kyr BP),LGGE Grenoble
555.50,19949.85,20757.93,189.12,0.27,EDC (9-22 kyr BP),LGGE Grenoble
557.70,20149.39,21038.90,189.74,NAN,EDC (9-22 kyr BP),LGGE Grenoble
578.05,22008.84,22229.60,185.16,0.77,EDC (9-22 kyr BP),LGGE Grenoble
