Depth (m),"Gasage (TALDICE-1a, yr BP)","Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
1009.64,34166.74,34164.76,34359.95,152.65,4.47,Talos Dome (35-68 kyr BP),University of Bern
1017.91,35017.60,34741.72,35093.65,176.36,12.66,Talos Dome (35-68 kyr BP),University of Bern
1025.91,35521.63,35326.02,35663.78,203.36,10.37,Talos Dome (35-68 kyr BP),University of Bern
1033.92,36159.93,36028.26,36258.59,184.04,16.93,Talos Dome (35-68 kyr BP),University of Bern
1041.89,36820.90,36692.96,36912.69,204.89,6.68,Talos Dome (35-68 kyr BP),University of Bern
1047.08,37221.92,37077.29,37319.66,220.34,9.40,Talos Dome (35-68 kyr BP),University of Bern
1049.91,37418.84,37286.53,37558.95,205.93,3.84,Talos Dome (35-68 kyr BP),University of Bern
1057.91,38051.27,37878.33,38126.70,214.07,3.28,Talos Dome (35-68 kyr BP),University of Bern
1059.52,38147.91,38000.88,38208.68,208.87,5.94,Talos Dome (35-68 kyr BP),University of Bern
1061.30,38251.37,38146.55,38323.97,209.24,3.00,Talos Dome (35-68 kyr BP),University of Bern
1063.45,38357.81,38322.95,38497.50,209.18,2.26,Talos Dome (35-68 kyr BP),University of Bern
1065.87,38448.04,38521.55,38682.39,210.81,1.18,Talos Dome (35-68 kyr BP),University of Bern
1067.05,38496.71,38618.32,38733.94,209.54,1.25,Talos Dome (35-68 kyr BP),University of Bern
1069.25,38584.53,38798.82,38874.93,207.39,2.30,Talos Dome (35-68 kyr BP),University of Bern
1071.14,38659.14,38953.85,39039.82,208.84,1.25,Talos Dome (35-68 kyr BP),University of Bern
1073.89,38948.81,39179.72,39217.07,210.68,1.26,Talos Dome (35-68 kyr BP),University of Bern
1075.45,39121.24,39307.51,39322.28,203.81,1.36,Talos Dome (35-68 kyr BP),University of Bern
1077.30,39312.04,39459.30,39475.79,204.79,1.64,Talos Dome (35-68 kyr BP),University of Bern
1079.55,39536.47,39643.95,39662.58,200.08,1.16,Talos Dome (35-68 kyr BP),University of Bern
1081.87,39757.97,39834.11,39876.21,199.79,0.84,Talos Dome (35-68 kyr BP),University of Bern
1083.50,39885.30,39968.07,40028.85,197.11,0.94,Talos Dome (35-68 kyr BP),University of Bern
1085.30,40018.93,40116.11,40137.48,195.90,1.60,Talos Dome (35-68 kyr BP),University of Bern
1087.50,40190.95,40297.03,40308.40,197.90,1.39,Talos Dome (35-68 kyr BP),University of Bern
1089.89,40389.00,40493.78,40485.95,201.32,1.37,Talos Dome (35-68 kyr BP),University of Bern
1091.05,40484.88,40588.98,40553.44,201.48,1.09,Talos Dome (35-68 kyr BP),University of Bern
1093.25,40684.55,40769.91,40754.30,200.47,0.74,Talos Dome (35-68 kyr BP),University of Bern
1095.14,40855.55,40982.43,40907.39,200.97,1.92,Talos Dome (35-68 kyr BP),University of Bern
1097.89,41310.34,41492.66,41167.90,201.53,1.88,Talos Dome (35-68 kyr BP),University of Bern
1099.33,41578.70,41651.19,41303.59,204.19,1.54,Talos Dome (35-68 kyr BP),University of Bern
1103.58,41859.89,41871.09,41605.97,205.49,0.99,Talos Dome (35-68 kyr BP),University of Bern
1105.33,41921.04,41961.64,41759.21,201.12,1.00,Talos Dome (35-68 kyr BP),University of Bern
1107.09,41977.97,42052.77,41900.69,199.89,1.36,Talos Dome (35-68 kyr BP),University of Bern
1111.53,42064.43,42282.55,42315.82,200.90,1.24,Talos Dome (35-68 kyr BP),University of Bern
1115.03,42395.36,42688.62,42628.30,204.83,0.19,Talos Dome (35-68 kyr BP),University of Bern
1117.93,42722.15,43060.29,42849.87,206.35,1.07,Talos Dome (35-68 kyr BP),University of Bern
1119.08,42868.45,43208.74,42968.08,204.26,0.76,Talos Dome (35-68 kyr BP),University of Bern
1121.33,43122.46,43495.84,43171.89,203.16,1.43,Talos Dome (35-68 kyr BP),University of Bern
1123.53,43321.20,43777.75,43350.66,201.66,1.81,Talos Dome (35-68 kyr BP),University of Bern
1125.65,43523.80,44018.70,43515.82,204.22,0.86,Talos Dome (35-68 kyr BP),University of Bern
1127.57,43700.94,44147.73,43661.16,203.18,1.05,Talos Dome (35-68 kyr BP),University of Bern
1129.33,43846.83,44265.38,43809.01,201.69,1.13,Talos Dome (35-68 kyr BP),University of Bern
1132.52,44122.37,44480.14,44095.20,204.31,0.92,Talos Dome (35-68 kyr BP),University of Bern
1133.93,44249.62,44574.60,44204.45,202.00,0.52,Talos Dome (35-68 kyr BP),University of Bern
1135.48,44399.23,44678.70,44350.47,206.22,1.86,Talos Dome (35-68 kyr BP),University of Bern
1137.28,44570.70,44799.67,44490.50,204.83,1.32,Talos Dome (35-68 kyr BP),University of Bern
1139.05,44735.01,44918.96,44655.54,212.29,0.85,Talos Dome (35-68 kyr BP),University of Bern
1141.28,44936.34,45069.14,44816.01,210.44,0.56,Talos Dome (35-68 kyr BP),University of Bern
1143.53,45137.70,45215.83,44996.16,211.49,0.35,Talos Dome (35-68 kyr BP),University of Bern
1145.33,45298.23,45328.76,45142.02,207.95,0.71,Talos Dome (35-68 kyr BP),University of Bern
1147.53,45461.44,45466.86,45280.39,213.92,0.82,Talos Dome (35-68 kyr BP),University of Bern
1149.92,45629.72,45617.48,45460.32,214.50,0.81,Talos Dome (35-68 kyr BP),University of Bern
1153.28,45922.05,45827.80,45696.06,217.51,2.16,Talos Dome (35-68 kyr BP),University of Bern
1155.53,46111.14,45969.32,45877.11,222.72,0.33,Talos Dome (35-68 kyr BP),University of Bern
1157.92,46312.85,46119.66,46057.33,221.77,1.74,Talos Dome (35-68 kyr BP),University of Bern
1159.43,46434.02,46213.85,46181.26,219.25,1.19,Talos Dome (35-68 kyr BP),University of Bern
1161.33,46576.49,46333.11,46308.55,218.35,1.45,Talos Dome (35-68 kyr BP),University of Bern
1165.93,46883.43,46621.93,46635.90,216.42,1.44,Talos Dome (35-68 kyr BP),University of Bern
1167.53,46987.54,46722.33,46746.44,214.18,0.99,Talos Dome (35-68 kyr BP),University of Bern
1169.28,47116.87,46832.15,46887.94,210.84,1.50,Talos Dome (35-68 kyr BP),University of Bern
1171.48,47280.87,46994.37,47086.28,210.27,0.53,Talos Dome (35-68 kyr BP),University of Bern
1173.68,47477.05,47238.88,47314.98,207.60,1.20,Talos Dome (35-68 kyr BP),University of Bern
1175.57,47653.46,47448.04,47524.36,204.26,0.98,Talos Dome (35-68 kyr BP),University of Bern
1177.28,47808.32,47636.23,47710.39,203.79,0.39,Talos Dome (35-68 kyr BP),University of Bern
1179.52,48025.97,47885.17,47943.75,205.66,0.97,Talos Dome (35-68 kyr BP),University of Bern
1181.92,48260.03,48150.77,48223.18,206.18,2.05,Talos Dome (35-68 kyr BP),University of Bern
1183.48,48413.94,48322.36,48427.86,200.98,0.56,Talos Dome (35-68 kyr BP),University of Bern
