Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
149.10,2690.00,,284.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
173.10,3897.00,3661.93,272.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
177.40,4124.00,3746.63,268.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
228.60,6735.00,6449.18,262.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
250.30,7873.00,7567.35,254.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
266.00,8670.00,8167.45,259.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
302.60,10167.00,10555.89,261.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
321.20,10983.00,11326.34,263.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
331.60,11422.00,11960.78,244.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
342.10,11881.00,12630.15,238.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
365.50,13356.00,14177.93,236.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
375.60,14010.00,14984.56,225.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
443.50,20023.00,20662.23,182.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
470.80,22827.00,22997.44,189.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
506.40,25994.00,27490.58,191.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
544.70,29063.00,30633.42,188.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
554.20,30020.00,31336.23,191.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
602.30,35009.00,36036.89,205.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
625.60,37471.00,38058.50,209.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
700.20,43500.00,44888.88,209.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
765.00,47336.00,49242.90,189.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
788.20,48854.00,50788.82,188.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
800.00,49690.00,51894.10,210.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
812.20,50663.00,52841.93,215.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
834.80,52382.00,53933.34,190.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
902.20,57088.00,58215.13,221.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
912.00,57657.00,59477.30,210.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
986.20,62859.00,65222.91,195.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1011.30,64939.00,66826.03,191.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1023.50,65939.00,67974.70,194.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1087.20,71049.00,72700.34,227.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1112.50,73227.00,74350.68,229.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1162.10,77150.00,78559.11,217.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1175.00,78183.00,79529.65,221.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1209.90,80614.00,81582.80,230.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1237.20,82417.00,83327.58,241.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1251.50,83333.00,84218.33,236.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1261.20,84016.00,84521.40,228.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1274.20,85020.00,85266.82,214.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
1289.20,86181.00,86599.30,217.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1309.20,87917.00,88092.94,208.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1338.20,90357.00,90331.35,224.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
1349.00,91249.00,91441.70,228.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1387.20,94353.00,94216.26,232.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1451.50,99849.00,99545.18,225.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
1463.20,100837.00,100771.80,230.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
1476.10,101749.00,101336.80,236.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1505.00,103465.00,103892.00,228.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1526.30,104704.00,105260.20,236.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1542.10,105636.00,106419.65,230.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1575.20,107579.00,109117.80,238.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
1582.80,108153.00,109766.40,245.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1598.00,109804.00,111501.00,251.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
1615.00,111862.00,113309.00,256.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1627.90,113262.00,114437.25,266.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1637.60,114096.00,115269.20,261.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1644.00,114601.00,115664.00,274.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
1651.00,115118.00,116071.00,273.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
1669.20,116501.00,117287.40,262.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
1687.20,117750.00,118266.00,267.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1700.90,118649.00,118967.75,273.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1716.00,119672.00,119923.00,271.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1726.80,120382.00,120584.60,265.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
1736.80,121017.00,121172.60,277.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1758.20,122344.00,122447.20,272.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1770.00,123070.00,123087.00,276.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1789.20,124213.00,124161.20,268.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1790.00,124257.00,124206.00,266.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1799.00,124789.00,124716.00,266.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1804.00,125081.00,125006.00,279.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1807.00,125262.00,125194.00,273.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1810.00,125434.00,125381.00,277.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1825.70,126347.00,126023.15,273.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1830.00,126598.00,126110.00,267.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1836.00,126886.00,126451.00,262.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
1841.60,127132.00,126990.80,262.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1852.40,127622.00,127575.00,275.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1859.00,127907.00,127834.00,275.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1869.30,128344.00,128329.95,274.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1870.00,128372.00,128380.00,287.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1875.90,128609.00,128818.25,286.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
1882.50,128866.00,129224.00,282.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1890.00,129146.00,129522.00,264.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
1895.00,129340.00,129872.50,263.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1902.00,129652.00,130360.00,257.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1903.50,129736.00,130464.25,259.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1930.00,131329.00,132498.00,245.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1932.00,131455.00,132673.00,240.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1936.00,131728.00,133017.00,228.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1947.00,132492.00,134110.00,223.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
1954.50,133069.00,134911.25,223.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1955.00,133105.00,134959.50,220.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
1960.00,133427.00,135571.00,210.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
1969.80,134123.00,136756.70,208.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
1972.00,134287.00,136986.00,203.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1980.20,134960.00,137833.40,204.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
1982.00,135114.00,137981.00,200.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1983.00,135207.00,138005.50,198.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1987.40,135603.00,138110.80,198.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
1990.60,135883.00,138191.50,201.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1992.00,136011.00,138251.00,200.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
1994.60,136251.00,138547.30,202.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
1998.00,136567.00,138925.00,195.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
1999.00,136655.00,139040.50,201.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2005.80,137293.00,139828.70,194.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2009.50,137633.00,140281.25,193.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2013.00,137982.00,140836.00,194.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2015.00,138185.00,141152.50,190.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2025.70,139275.00,142315.05,192.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2029.00,139617.00,142658.00,196.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2041.00,140899.00,143937.00,195.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2041.50,140960.00,143992.50,196.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2050.30,142058.00,145021.20,190.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2077.50,145363.00,148447.50,196.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2107.05,148831.00,152458.80,203.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2116.00,149803.00,153453.00,191.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2117.00,149921.00,153570.00,188.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2131.10,151423.00,155261.30,200.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2157.00,154480.00,158666.00,189.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2164.00,155395.00,159716.00,185.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2167.20,155813.00,160155.00,187.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2203.00,159562.00,163858.00,204.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2207.30,159943.00,164334.65,196.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2225.00,161679.00,166143.00,191.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2231.05,162228.00,166784.00,190.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2240.15,163024.00,167914.10,186.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2247.00,163698.00,168745.50,183.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
2254.05,164439.00,169514.40,196.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2280.00,167183.00,171939.00,197.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
2302.00,169492.00,174442.00,197.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2316.05,171351.00,175833.35,196.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2325.00,172434.00,176853.00,190.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2331.05,173135.00,177533.93,189.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2333.00,173394.00,177729.50,190.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2348.00,175306.00,179873.00,207.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2363.00,177139.00,181302.00,213.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2372.00,178179.00,182196.00,217.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2379.20,179117.00,183258.00,198.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2386.00,180068.00,184371.00,199.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2399.00,182046.00,186411.00,203.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2414.00,184685.00,188437.00,210.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2425.00,186697.00,189806.50,231.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2437.00,188436.00,191254.50,231.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2442.05,189076.00,191964.08,220.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2451.00,190352.00,193074.50,218.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2470.30,192910.00,195126.50,226.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2475.00,193481.00,195799.50,220.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2488.05,195017.00,197587.35,226.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2494.10,195673.00,198327.45,241.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2499.00,196179.00,198938.00,242.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2525.00,198972.00,201752.00,250.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2533.00,199918.00,202744.50,239.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2543.00,201163.00,203842.00,247.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2552.01,202413.00,205203.28,244.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2554.91,202874.00,205575.76,231.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2557.71,203317.00,205944.58,232.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2560.91,203837.00,206359.94,228.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2564.91,204480.00,206896.85,226.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2567.51,204908.00,207240.30,229.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2570.41,205362.00,207622.89,231.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2574.21,205952.00,208108.78,238.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2575.51,206144.00,208274.53,237.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2579.91,206810.00,208821.57,230.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2581.91,207120.00,209082.26,240.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2584.71,207544.00,209445.04,242.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2588.81,208064.00,209966.09,244.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2590.41,208254.00,210175.17,243.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2595.11,208803.00,210832.07,247.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2596.71,208995.00,211058.47,252.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2600.41,209432.00,211577.84,246.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2603.71,209817.00,212078.75,239.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2606.61,210154.00,212533.08,257.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2612.51,210813.00,213330.35,243.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2621.71,211858.00,214158.81,251.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2629.41,212716.00,215080.75,241.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2634.41,213270.00,215912.34,240.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2636.71,213536.00,216306.15,242.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2640.41,213984.00,216864.97,247.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2644.41,214459.00,217415.64,251.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2646.61,214794.00,217694.96,251.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2650.41,215382.00,218200.79,245.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2656.21,216352.00,219067.61,240.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2666.71,218361.00,220935.62,214.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2670.41,219116.00,221697.46,216.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2674.61,220058.00,222539.58,207.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2677.41,220739.00,223129.04,208.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
2682.61,222030.00,224271.51,205.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2691.01,224269.00,226259.83,203.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2693.61,224923.00,226849.84,215.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2698.01,225909.00,227719.98,235.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2701.41,226711.00,228439.42,234.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2702.71,227027.00,228766.99,233.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2705.61,227776.00,229572.05,224.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2711.71,229423.00,231129.66,232.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2715.41,230422.00,232191.77,233.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2717.71,231066.00,232856.06,241.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2732.71,234817.00,235990.86,245.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2735.71,235480.00,236426.01,252.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2738.71,236114.00,236850.80,241.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2741.71,236734.00,237391.66,247.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2744.61,237294.00,237905.53,243.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2747.61,237868.00,238425.34,239.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2751.11,238558.00,239008.26,245.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2753.61,239013.00,239387.04,245.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
2756.21,239477.00,239738.66,247.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2759.11,239973.00,240190.37,252.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
2765.21,240945.00,241333.05,259.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2768.20,241366.00,241855.40,263.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2773.51,242007.00,242685.46,279.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2776.51,242346.00,243138.52,280.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2782.71,243071.00,244121.77,263.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2785.51,243429.00,244582.34,252.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2788.51,243856.00,245057.01,249.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2791.50,244347.00,245564.00,236.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2794.51,244864.00,246188.81,230.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2797.51,245441.00,246870.49,219.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2806.51,247681.00,249099.87,214.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2815.61,250133.00,251390.57,200.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2818.61,251005.00,252132.26,213.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2821.51,251864.00,252953.72,195.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2824.51,252739.00,253756.68,196.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2827.51,253636.00,254587.11,195.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2833.81,255498.00,256298.66,199.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2836.51,256309.00,257060.59,201.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2839.51,257100.00,257908.07,204.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2845.51,258661.00,259396.90,203.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2851.51,260353.00,260894.24,209.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2853.51,260916.00,261293.92,205.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2857.51,262092.00,262054.58,208.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2860.51,262930.00,262817.10,214.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2866.51,264509.00,264583.76,228.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2870.51,265653.00,266134.45,199.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2872.71,266326.00,267007.00,211.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2876.21,267442.00,268257.83,188.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2878.50,268181.00,268995.50,187.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2881.42,269154.00,269940.47,194.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2884.51,270222.00,271036.04,198.80,0,Vostok (0-440 kyr BP),LGGE Grenoble
2887.51,271256.00,272149.64,184.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2890.51,272311.00,273165.83,190.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2893.51,273310.00,274164.08,193.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2896.51,274321.00,275154.64,194.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2899.51,275350.00,276257.72,198.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2902.51,276326.00,277443.00,193.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2905.51,277361.00,278590.91,202.20,0,Vostok (0-440 kyr BP),LGGE Grenoble
2908.51,278350.00,279619.05,204.50,0,Vostok (0-440 kyr BP),LGGE Grenoble
2911.46,279320.00,280558.95,211.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2914.51,280269.00,281400.74,215.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2919.41,281758.00,282592.89,223.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2926.51,283785.00,284434.68,231.30,0,Vostok (0-440 kyr BP),LGGE Grenoble
2932.51,285380.00,285931.32,228.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2935.51,286128.00,286609.96,226.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2939.31,287036.00,287443.86,231.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2941.51,287538.00,287820.05,230.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2944.51,288233.00,288286.43,231.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2953.50,290153.00,290184.50,234.90,0,Vostok (0-440 kyr BP),LGGE Grenoble
2956.51,290730.00,290863.79,220.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2959.51,291367.00,291562.87,217.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2964.51,292405.00,292818.31,207.60,0,Vostok (0-440 kyr BP),LGGE Grenoble
2967.51,293057.00,293650.74,206.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
2970.51,293779.00,294455.29,206.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2973.81,294568.00,295364.23,212.70,0,Vostok (0-440 kyr BP),LGGE Grenoble
2979.51,295930.00,296828.87,213.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2986.01,297921.00,298704.62,217.10,0,Vostok (0-440 kyr BP),LGGE Grenoble
2988.61,298741.00,299376.28,224.40,0,Vostok (0-440 kyr BP),LGGE Grenoble
2991.51,299621.00,300115.87,231.00,0,Vostok (0-440 kyr BP),LGGE Grenoble
