Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni,"Gasage (AICC2012, yr BP).1",source file
102.83,137.00,350.11,280.40,1.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
106.89,268.00,486.69,274.90,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
107.20,279.00,501.20,277.90,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
110.25,395.00,539.65,279.10,1.30,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
110.50,404.00,539.89,281.90,1.10,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
113.27,485.00,657.69,277.70,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
115.48,559.00,762.16,281.10,1.10,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
118.62,672.00,867.61,282.20,0.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
121.50,754.00,961.07,280.10,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
124.82,877.00,1109.50,278.40,1.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
127.02,950.00,1168.29,276.60,1.40,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
129.75,1060.00,1256.85,279.10,1.00,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
132.50,1153.00,1315.27,277.70,1.20,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
134.72,1233.00,1387.27,278.70,1.20,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
138.02,1350.00,1477.17,277.40,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
141.30,1453.00,1653.13,279.20,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
144.05,1552.00,1729.03,280.00,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
146.27,1638.00,1816.60,278.90,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
149.02,1733.00,1901.97,278.70,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
151.20,1812.00,1999.71,278.00,1.20,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
154.50,1931.00,2093.36,276.90,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
157.82,2057.00,2234.24,276.70,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
160.03,2128.00,2265.55,276.70,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
162.17,2212.00,2414.32,277.60,1.30,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
165.52,2334.00,2526.12,277.90,0.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
168.28,2433.00,2628.02,273.90,1.10,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
171.00,2536.00,2708.48,278.90,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
173.14,2604.00,2801.76,275.30,1.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
176.52,2728.00,2904.55,274.70,1.20,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
178.72,2806.00,2948.82,276.30,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
181.45,2902.00,3056.60,274.60,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
185.85,3053.00,3255.73,276.30,1.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
187.52,3116.00,3283.66,273.10,1.10,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
189.72,3215.00,3431.12,274.00,0.30,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
193.00,3336.00,3528.29,275.00,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
196.30,3453.00,3644.46,273.40,1.30,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
198.52,3523.00,3693.41,273.00,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
201.28,3622.00,3806.86,271.50,1.00,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
204.00,3721.00,3856.17,275.40,0.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
206.20,3790.00,3968.95,274.90,1.30,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
209.52,3910.00,4108.67,271.70,1.00,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
212.27,4004.00,4205.84,271.60,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
215.00,4096.00,4275.08,272.80,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
216.65,4161.00,4342.82,271.50,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
221.05,4324.00,4494.36,271.10,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
222.72,4374.00,4592.82,269.10,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
225.48,4480.00,4647.46,269.80,1.00,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
228.20,4573.00,4773.00,271.50,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
232.05,4703.00,4921.20,270.70,0.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
233.72,4766.00,4981.58,269.30,1.00,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
236.47,4874.00,5086.79,268.60,1.10,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
240.27,5004.00,5218.57,269.80,1.20,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
242.50,5094.00,5311.18,267.60,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
244.72,5160.00,5357.55,265.30,1.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
248.02,5274.00,5533.29,265.20,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
250.72,5370.00,5581.30,267.60,2.00,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
253.50,5476.00,5757.61,265.90,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
256.27,5562.00,5852.26,265.50,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
259.02,5657.00,5934.09,260.70,1.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
260.65,5716.00,5999.38,266.70,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
264.50,5855.00,6089.81,265.50,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
268.37,5998.00,6301.96,263.20,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
269.42,6039.00,6337.21,262.70,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
272.20,6131.00,6401.24,261.20,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
276.07,6263.00,6572.29,261.10,0.40,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
278.27,6354.00,6682.55,259.40,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
280.53,6434.00,6769.65,262.10,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
283.72,6545.00,6880.31,262.90,0.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
285.97,6617.00,6970.08,258.10,1.40,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
288.17,6713.00,7038.27,257.60,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
292.00,6838.00,7188.07,262.30,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
294.75,6941.00,7274.01,263.00,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
297.52,7028.00,7405.32,260.70,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
299.72,7112.00,7497.87,258.40,0.80,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
303.00,7234.00,7661.37,260.10,0.60,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
305.75,7320.00,7719.59,260.40,0.40,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
308.52,7413.00,7860.18,259.70,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
311.26,7507.00,7926.37,259.20,0.70,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
314.00,7590.00,7975.85,260.80,1.40,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
316.75,7691.00,8116.28,259.60,0.50,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
319.52,7781.00,8194.80,259.30,0.90,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
322.27,7876.00,8351.88,258.30,1.20,Dome C,University of Bern,,grl52461-sup-0003-supplementary.csv
